Species,Pond_Area,Soil_Type,Water_Source,Season,Recommended_Stocking,Survival_Rate
King Crab,3.13,Sandy,River,Winter,40729,93.72
Tilapia,2.57,Loamy,Canal,Summer,40137,79.71
Tiger Prawn,1.69,Clay,Borewell,Summer,22093,73.89
Tiger Prawn,4.81,Clay,Borewell,Monsoon,7422,77.77
Barramundi,3.01,Sandy,Canal,Summer,40575,88.11
Rohu,3.41,Loamy,Canal,Monsoon,35731,85.66
King Crab,2.75,Loamy,Canal,Monsoon,2386,87.17
Pangasius,3.95,Clay,Canal,Monsoon,48306,92.71
Seabass,2.62,Clay,River,Monsoon,46165,85.96
Snapper,4.58,Loamy,Borewell,Monsoon,7919,82.4
Seabass,1.44,Sandy,Canal,Winter,36078,93.49
King Crab,1.26,Loamy,Canal,Monsoon,21208,93.68
Tuna,0.83,Clay,River,Winter,27619,76.76
Soft Shell Crab,1.8,Loamy,River,Monsoon,30891,84.32
Tilapia,0.53,Clay,Borewell,Summer,21635,93.4
Black Tiger Shrimp,1.65,Loamy,River,Summer,30077,80.69
Blue Swimmer Crab,1.7,Clay,Borewell,Winter,40885,81.43
Vannamei,2.04,Clay,River,Summer,47621,77.45
Snow Crab,1.82,Clay,River,Summer,16145,87.89
Milkfish,2.12,Sandy,River,Winter,17878,83.45
Catfish,4.96,Loamy,Canal,Winter,48588,80.65
Snow Crab,2.86,Clay,Canal,Summer,4045,73.89
Seabass,2.9,Loamy,Borewell,Summer,9298,74.53
Seabass,4.75,Clay,Canal,Summer,12757,94.83
Barramundi,2.7,Loamy,River,Summer,15820,90.47
Black Tiger Shrimp,3.38,Loamy,Borewell,Summer,9198,76.92
Mud Crab,3.44,Clay,Borewell,Summer,6799,84.67
Freshwater Prawn,2.2,Sandy,River,Monsoon,2457,81.2
Grouper,4.7,Clay,River,Summer,16267,73.02
Milkfish,0.85,Clay,Canal,Winter,14804,73.33
Seabass,3.73,Loamy,River,Summer,7895,70.6
Pangasius,2.33,Sandy,River,Monsoon,38661,74.11
Grouper,3.54,Clay,Borewell,Summer,43102,86.99
Rohu,3.97,Sandy,Canal,Winter,21329,85.12
Barramundi,1.72,Clay,River,Monsoon,42531,82.05
Tiger Prawn,4.68,Sandy,River,Winter,12028,77.48
Rohu,2.61,Sandy,Borewell,Summer,21053,94.05
Trout,2.36,Loamy,Borewell,Winter,38550,90.87
Whiteleg Shrimp,1.63,Clay,River,Summer,8024,81.19
Milkfish,2.21,Loamy,Canal,Winter,6988,70.62
Tuna,0.66,Loamy,River,Winter,20597,72.47
Cod,0.81,Clay,Borewell,Monsoon,5489,72.21
Tiger Prawn,4.71,Sandy,Borewell,Summer,24977,92.88
Snow Crab,2.97,Sandy,River,Monsoon,47407,72.66
Mud Crab,2.59,Sandy,River,Winter,36546,77.52
Milkfish,1.12,Clay,Borewell,Summer,48985,83.25
Grouper,2.26,Loamy,River,Winter,7156,90.19
King Crab,2.98,Loamy,Borewell,Winter,34266,75.53
Carp,0.89,Loamy,River,Summer,14105,82.74
Mud Crab,1.28,Loamy,Canal,Monsoon,25372,75.08
Milkfish,2.04,Clay,River,Winter,20201,77.11
Tiger Prawn,4.59,Loamy,River,Summer,41667,79.46
Banana Prawn,2.58,Sandy,River,Monsoon,23164,93.57
Tilapia,1.15,Sandy,Canal,Monsoon,5769,71.39
Black Tiger Shrimp,4.97,Clay,Borewell,Winter,32481,85.77
Banana Prawn,3.06,Clay,River,Summer,35536,85.11
Blue Swimmer Crab,0.63,Loamy,Canal,Monsoon,46513,74.1
Freshwater Prawn,4.87,Sandy,River,Winter,2247,90.28
Whiteleg Shrimp,3.67,Loamy,Canal,Monsoon,43826,90.86
Milkfish,0.53,Loamy,River,Winter,9434,86.7
Vannamei,4.23,Loamy,Borewell,Winter,48252,90.07
Salmon,1.46,Clay,River,Summer,26973,79.2
Pangasius,4.8,Loamy,Borewell,Winter,17831,71.68
Snow Crab,3.37,Loamy,Canal,Summer,4785,84.95
King Crab,4.28,Loamy,Borewell,Winter,22476,83.41
Pangasius,2.56,Loamy,Canal,Monsoon,46196,79.35
Rohu,2.36,Sandy,Canal,Monsoon,39606,88.08
Grouper,3.38,Clay,Canal,Winter,10844,72.42
Cod,3.15,Clay,Canal,Summer,46483,70.97
Rohu,1.53,Loamy,Borewell,Summer,2044,82.73
Trout,1.11,Loamy,Borewell,Monsoon,15148,86.06
Whiteleg Shrimp,3.13,Clay,River,Monsoon,11041,81.23
Dungeness Crab,3.45,Loamy,Borewell,Winter,22373,85.37
Mud Crab,1.7,Clay,River,Summer,20997,73.21
Trout,3.92,Sandy,Borewell,Summer,27702,79.27
Mud Crab,4.39,Clay,Canal,Summer,4834,94.63
Dungeness Crab,2.12,Loamy,Canal,Monsoon,36084,75.74
Snow Crab,2.25,Loamy,Borewell,Winter,40860,82.32
Mud Crab,3.69,Loamy,Canal,Summer,23109,76.47
Black Tiger Shrimp,1.6,Sandy,Canal,Winter,12768,80.64
King Crab,4.82,Clay,Borewell,Winter,8086,85.14
Banana Prawn,4.66,Loamy,Borewell,Winter,18307,70.09
Catfish,3.42,Sandy,Borewell,Summer,31091,74.21
Tiger Prawn,1.88,Clay,River,Monsoon,38718,82.16
Cod,2.08,Sandy,River,Winter,31052,79.51
Salmon,3.13,Loamy,River,Summer,19474,85.35
Tiger Prawn,2.72,Sandy,River,Winter,10890,73.28
Dungeness Crab,4.92,Loamy,Borewell,Winter,35831,93.55
King Prawn,4.42,Sandy,Borewell,Summer,21329,90.48
Carp,1.88,Sandy,River,Summer,32938,71.02
Vannamei,3.57,Loamy,Borewell,Monsoon,4403,79.53
Soft Shell Crab,2.79,Clay,River,Winter,39162,71.29
Seabass,3.01,Clay,Borewell,Monsoon,37585,79.08
King Crab,4.55,Clay,Canal,Winter,29769,84.0
Catfish,3.48,Loamy,Borewell,Winter,7251,76.12
Salmon,3.65,Clay,River,Summer,4708,80.27
Milkfish,0.89,Clay,River,Monsoon,32629,89.78
Whiteleg Shrimp,4.48,Loamy,River,Winter,47029,81.86
Barramundi,2.02,Loamy,Borewell,Summer,34310,91.77
Tuna,4.69,Clay,Canal,Winter,42410,80.43
Trout,2.81,Loamy,Borewell,Monsoon,35523,84.2
Salmon,0.54,Sandy,Canal,Summer,10826,84.21
Whiteleg Shrimp,4.33,Clay,River,Summer,42893,85.45
Cod,1.06,Loamy,River,Summer,44519,86.82
Black Tiger Shrimp,1.16,Sandy,Canal,Summer,17440,74.44
Freshwater Prawn,0.52,Loamy,Borewell,Monsoon,45031,79.88
King Prawn,2.15,Clay,Borewell,Summer,41350,81.66
Vannamei,0.53,Sandy,Borewell,Winter,39879,94.37
Mud Crab,3.71,Sandy,River,Winter,20751,94.98
Cod,1.4,Clay,River,Summer,11539,74.99
Barramundi,0.6,Clay,River,Monsoon,39199,73.44
Salmon,3.1,Sandy,River,Monsoon,13204,75.56
Mud Crab,4.48,Loamy,River,Winter,30777,87.1
Milkfish,2.49,Loamy,Borewell,Winter,13421,73.22
Milkfish,4.98,Clay,River,Winter,6729,88.52
Whiteleg Shrimp,4.5,Loamy,River,Winter,38670,77.14
Blue Swimmer Crab,1.25,Clay,Borewell,Summer,45939,71.63
Rohu,2.29,Clay,River,Summer,4151,83.45
Tilapia,3.27,Sandy,Canal,Monsoon,7924,74.82
Banana Prawn,1.21,Sandy,River,Monsoon,27690,92.76
Soft Shell Crab,2.53,Clay,Canal,Monsoon,42744,94.11
Salmon,2.54,Sandy,Canal,Monsoon,15195,78.82
Vannamei,1.72,Loamy,River,Winter,46199,71.44
King Crab,0.85,Sandy,Canal,Winter,21299,77.76
Rohu,0.73,Sandy,Borewell,Winter,34516,88.64
Tuna,1.63,Clay,River,Monsoon,36473,86.87
Carp,0.78,Clay,Canal,Summer,49034,80.87
Salmon,2.88,Clay,River,Monsoon,30301,86.98
Catfish,2.11,Clay,Borewell,Monsoon,28240,76.61
Barramundi,0.68,Loamy,Borewell,Summer,41659,75.2
Seabass,0.91,Sandy,Canal,Summer,41805,93.92
Tuna,2.28,Loamy,River,Winter,38820,74.17
Vannamei,2.73,Clay,Canal,Winter,20910,88.54
Soft Shell Crab,2.22,Sandy,Canal,Monsoon,47822,88.62
Blue Swimmer Crab,0.69,Loamy,Canal,Summer,40157,83.79
Dungeness Crab,3.42,Sandy,Canal,Summer,10841,86.16
Grouper,1.14,Loamy,River,Summer,16664,77.47
Dungeness Crab,2.07,Sandy,River,Monsoon,27893,75.57
Freshwater Prawn,3.27,Clay,River,Summer,27997,70.52
Pangasius,2.22,Loamy,Borewell,Summer,26176,89.01
Pangasius,2.28,Loamy,River,Winter,18592,88.14
Soft Shell Crab,0.89,Clay,River,Winter,20456,85.57
Tilapia,1.4,Loamy,Borewell,Winter,26673,81.58
Soft Shell Crab,1.06,Loamy,Borewell,Monsoon,31693,79.09
Grouper,4.99,Loamy,Borewell,Summer,33689,89.73
Tiger Prawn,3.28,Sandy,River,Summer,30107,81.06
Tuna,1.26,Loamy,Borewell,Winter,3600,82.32
Black Tiger Shrimp,3.6,Clay,River,Summer,49890,74.56
Snapper,3.62,Clay,Canal,Summer,7437,93.49
Black Tiger Shrimp,4.51,Clay,Canal,Summer,11001,86.5
Snow Crab,3.96,Clay,Canal,Summer,28467,91.8
Freshwater Prawn,1.24,Sandy,Canal,Monsoon,12344,73.43
Barramundi,1.29,Clay,Borewell,Monsoon,48596,92.68
Mud Crab,1.65,Sandy,Canal,Winter,5583,83.75
King Crab,1.01,Sandy,Canal,Winter,38251,90.33
Rohu,1.34,Clay,Canal,Summer,6937,88.6
Dungeness Crab,1.2,Clay,Canal,Summer,37158,80.99
King Crab,3.12,Clay,Canal,Winter,6399,87.88
Dungeness Crab,3.85,Loamy,River,Summer,27347,88.08
King Crab,2.28,Loamy,Borewell,Winter,37761,81.24
Pangasius,1.41,Sandy,Canal,Summer,2982,77.65
King Prawn,1.33,Sandy,Canal,Monsoon,23326,83.5
Cod,4.52,Loamy,River,Summer,40268,87.74
Pangasius,1.69,Clay,Canal,Summer,13275,71.32
Rohu,2.21,Sandy,Borewell,Monsoon,37568,82.8
Freshwater Prawn,2.18,Clay,Canal,Monsoon,39487,74.31
Blue Swimmer Crab,1.71,Loamy,River,Winter,8431,78.85
Carp,1.88,Sandy,Canal,Monsoon,48310,70.9
Cod,4.69,Clay,River,Summer,6061,89.24
Blue Swimmer Crab,2.86,Clay,River,Monsoon,8986,87.44
Trout,4.57,Loamy,Canal,Monsoon,22072,88.54
King Prawn,0.58,Clay,Borewell,Winter,4996,78.22
Blue Swimmer Crab,2.39,Sandy,Canal,Winter,27109,78.77
Pangasius,4.47,Loamy,Canal,Monsoon,28344,89.8
Milkfish,3.2,Loamy,Borewell,Monsoon,48148,71.88
Blue Swimmer Crab,2.74,Loamy,Canal,Winter,9330,88.44
Salmon,3.51,Sandy,River,Summer,40910,86.89
Vannamei,2.12,Sandy,River,Winter,24478,94.99
Soft Shell Crab,1.06,Loamy,Borewell,Summer,5773,92.3
Blue Swimmer Crab,2.43,Sandy,Borewell,Summer,23271,94.15
Barramundi,4.73,Clay,River,Monsoon,22473,86.4
Pangasius,3.17,Sandy,River,Summer,12457,84.39
Mud Crab,4.67,Sandy,River,Monsoon,21630,87.04
Vannamei,4.9,Sandy,Borewell,Summer,8292,75.1
Tilapia,4.68,Sandy,Borewell,Winter,21692,85.1
Blue Swimmer Crab,3.82,Sandy,Canal,Monsoon,18353,85.81
Freshwater Prawn,1.09,Clay,Borewell,Winter,11719,88.79
Seabass,3.74,Clay,Borewell,Monsoon,25428,85.25
Tilapia,0.95,Sandy,River,Monsoon,15211,94.48
Seabass,2.81,Loamy,River,Monsoon,47408,85.62
Mud Crab,2.87,Loamy,Canal,Summer,11336,82.82
Snapper,4.33,Loamy,Canal,Monsoon,3449,70.31
Carp,1.39,Sandy,River,Winter,17524,88.33
Banana Prawn,1.87,Sandy,Canal,Winter,13168,92.88
Barramundi,0.71,Loamy,Borewell,Monsoon,33606,94.27
Rohu,0.71,Loamy,Canal,Summer,36836,92.81
Milkfish,0.52,Loamy,River,Summer,6984,76.26
Trout,0.8,Sandy,River,Winter,41043,77.3
Tilapia,4.14,Clay,Borewell,Monsoon,19314,80.33
Trout,3.82,Loamy,Canal,Winter,21666,81.98
Milkfish,4.67,Clay,River,Winter,21664,84.79
Trout,1.09,Clay,River,Monsoon,22862,87.95
Grouper,1.39,Loamy,River,Winter,38222,79.54
Banana Prawn,1.73,Sandy,Borewell,Winter,25738,89.22
Tiger Prawn,1.12,Loamy,River,Monsoon,3992,83.75
Freshwater Prawn,3.89,Sandy,River,Winter,37456,85.18
Banana Prawn,4.76,Clay,Borewell,Winter,13393,94.12
King Prawn,4.65,Clay,River,Summer,6508,82.02
Blue Swimmer Crab,4.37,Clay,River,Winter,30931,71.48
Cod,0.84,Sandy,River,Winter,14339,92.76
Vannamei,4.89,Clay,River,Monsoon,23171,81.63
Blue Swimmer Crab,4.87,Sandy,Borewell,Winter,18189,81.49
Mud Crab,4.26,Loamy,River,Summer,22855,77.67
Dungeness Crab,0.86,Loamy,River,Summer,39374,80.16
Tuna,4.14,Clay,River,Summer,15706,76.49
Snapper,4.43,Clay,River,Monsoon,45874,78.94
Snapper,1.62,Sandy,Borewell,Winter,30456,94.33
Freshwater Prawn,2.1,Sandy,Borewell,Summer,5458,94.34
Snapper,2.98,Sandy,Borewell,Monsoon,42170,76.07
Grouper,1.12,Sandy,River,Monsoon,28924,80.15
Rohu,3.38,Clay,River,Summer,12129,88.87
King Prawn,4.09,Clay,Canal,Winter,11199,78.56
Rohu,4.36,Sandy,Borewell,Winter,32293,90.61
Soft Shell Crab,4.22,Sandy,Borewell,Winter,43475,94.32
Soft Shell Crab,3.2,Clay,Borewell,Summer,13815,82.77
Grouper,2.25,Loamy,River,Winter,36110,73.64
Seabass,1.45,Sandy,Borewell,Winter,31450,82.67
Barramundi,3.87,Loamy,River,Summer,40943,71.06
Catfish,2.05,Sandy,Canal,Winter,32681,80.64
Trout,3.61,Clay,Canal,Summer,30978,78.06
Barramundi,1.72,Sandy,Borewell,Summer,32588,93.27
Seabass,4.15,Clay,Borewell,Winter,14269,81.05
Tilapia,3.73,Clay,River,Summer,44726,84.38
Seabass,3.28,Sandy,Borewell,Summer,30404,86.1
Blue Swimmer Crab,4.72,Sandy,Canal,Winter,24271,83.75
Grouper,2.59,Loamy,River,Summer,28421,94.72
Pangasius,2.31,Loamy,Borewell,Winter,49069,71.52
Milkfish,0.8,Sandy,River,Monsoon,40504,82.54
Salmon,1.09,Loamy,Canal,Winter,9358,73.8
Trout,3.05,Clay,Borewell,Monsoon,38552,86.19
Grouper,2.74,Clay,River,Winter,47571,85.26
Rohu,1.52,Clay,Canal,Summer,2606,75.24
Freshwater Prawn,0.56,Loamy,Borewell,Summer,48046,79.97
Freshwater Prawn,1.64,Loamy,Borewell,Summer,26868,77.4
Cod,3.27,Loamy,River,Winter,32817,71.51
King Prawn,1.13,Loamy,River,Summer,40378,76.68
Cod,0.7,Loamy,Canal,Monsoon,22908,88.14
Dungeness Crab,2.01,Sandy,Borewell,Summer,13917,79.11
Vannamei,1.81,Clay,Canal,Monsoon,47965,77.53
Tuna,1.99,Loamy,Borewell,Winter,29416,81.98
Vannamei,1.77,Loamy,Borewell,Winter,12321,83.88
Soft Shell Crab,4.67,Loamy,River,Monsoon,36322,82.35
Vannamei,0.89,Clay,River,Monsoon,7715,73.48
Banana Prawn,4.03,Loamy,Borewell,Summer,44133,88.15
Rohu,2.92,Sandy,River,Monsoon,27182,80.11
Banana Prawn,2.42,Loamy,River,Monsoon,3193,90.26
Banana Prawn,1.07,Loamy,Borewell,Winter,12891,76.78
Whiteleg Shrimp,4.05,Loamy,Borewell,Summer,9025,88.75
Soft Shell Crab,1.08,Sandy,River,Summer,29132,93.28
Grouper,2.36,Clay,River,Monsoon,2999,78.98
Seabass,0.61,Sandy,Borewell,Monsoon,42735,85.33
Soft Shell Crab,0.52,Loamy,Canal,Winter,48962,79.9
Tilapia,1.1,Loamy,Borewell,Monsoon,32066,72.06
Barramundi,0.94,Loamy,River,Summer,23991,90.97
Rohu,1.7,Sandy,Borewell,Summer,20706,93.19
Banana Prawn,3.43,Clay,Canal,Summer,27554,78.22
Soft Shell Crab,1.97,Sandy,Borewell,Winter,14802,94.76
Black Tiger Shrimp,4.78,Sandy,Borewell,Monsoon,32886,92.5
Grouper,3.59,Clay,Borewell,Winter,46655,71.05
Salmon,2.09,Clay,Borewell,Winter,33392,71.84
Rohu,1.21,Loamy,Borewell,Monsoon,47038,75.23
Trout,3.86,Sandy,Canal,Summer,15739,81.26
King Prawn,1.61,Loamy,River,Monsoon,35164,94.45
Tiger Prawn,4.23,Loamy,Borewell,Monsoon,27904,86.24
Tilapia,2.98,Sandy,Borewell,Summer,7713,87.09
Grouper,1.66,Clay,Canal,Monsoon,11287,80.78
Soft Shell Crab,2.06,Sandy,Canal,Winter,24976,88.96
Catfish,3.53,Clay,Canal,Monsoon,4328,83.56
Freshwater Prawn,3.09,Clay,Borewell,Monsoon,46412,92.47
Freshwater Prawn,1.19,Clay,Canal,Summer,40229,76.89
Catfish,1.58,Loamy,River,Summer,16640,85.43
Dungeness Crab,3.91,Clay,Borewell,Monsoon,5214,83.76
Milkfish,0.51,Clay,River,Monsoon,47303,89.68
Vannamei,3.07,Sandy,Borewell,Monsoon,28792,93.02
Carp,1.22,Sandy,River,Monsoon,33752,90.49
King Prawn,2.4,Clay,Canal,Winter,5818,76.38
Soft Shell Crab,1.7,Sandy,River,Monsoon,49363,76.3
Mud Crab,1.89,Loamy,River,Monsoon,2558,81.91
Tiger Prawn,2.3,Clay,Canal,Summer,38828,81.81
Tiger Prawn,4.44,Sandy,Borewell,Monsoon,3234,73.77
King Crab,1.2,Loamy,Canal,Winter,37959,80.26
Milkfish,3.18,Loamy,River,Winter,43182,90.68
Milkfish,4.49,Clay,Borewell,Winter,17248,85.17
Black Tiger Shrimp,4.43,Clay,Canal,Monsoon,3699,71.98
Tuna,0.6,Sandy,Borewell,Summer,8756,84.19
Vannamei,3.86,Clay,Canal,Monsoon,6081,92.49
Seabass,3.12,Clay,Borewell,Monsoon,25880,92.31
Trout,4.43,Loamy,River,Summer,3219,93.61
Black Tiger Shrimp,4.54,Clay,Canal,Winter,30469,78.81
Barramundi,2.24,Clay,Canal,Winter,45470,79.47
Tilapia,2.19,Loamy,Canal,Winter,45728,88.81
Tuna,4.14,Clay,River,Winter,11187,92.62
Tuna,4.3,Loamy,Borewell,Summer,29541,83.48
Milkfish,4.77,Sandy,Canal,Monsoon,25390,71.47
Seabass,1.5,Loamy,River,Winter,36506,88.21
Seabass,4.06,Clay,Canal,Monsoon,31190,93.84
Milkfish,1.76,Loamy,River,Winter,29508,73.02
Cod,4.59,Loamy,Borewell,Monsoon,23451,84.57
Tiger Prawn,0.63,Loamy,Canal,Winter,10491,84.73
Catfish,2.75,Clay,Borewell,Monsoon,17118,90.95
Barramundi,2.47,Clay,Canal,Summer,38339,89.09
Trout,0.88,Clay,River,Monsoon,29010,73.32
Carp,2.19,Sandy,Canal,Winter,16115,85.22
Banana Prawn,3.32,Sandy,River,Summer,8097,86.99
Milkfish,1.42,Sandy,Borewell,Monsoon,41473,90.98
Soft Shell Crab,4.34,Loamy,Canal,Monsoon,27371,77.57
Banana Prawn,4.41,Clay,Canal,Summer,47049,70.96
Black Tiger Shrimp,3.19,Loamy,River,Summer,24689,89.54
Dungeness Crab,2.67,Clay,Borewell,Winter,38752,80.08
King Crab,0.95,Sandy,Borewell,Monsoon,47090,73.41
Snapper,2.64,Sandy,Canal,Monsoon,23181,83.65
Dungeness Crab,1.79,Sandy,Borewell,Monsoon,6466,73.19
Trout,3.47,Loamy,Borewell,Winter,15604,86.43
Carp,1.55,Sandy,Borewell,Monsoon,42099,84.31
Snow Crab,4.45,Sandy,Canal,Summer,34766,74.25
Tuna,4.8,Clay,Canal,Winter,18230,70.96
King Crab,3.72,Sandy,River,Winter,11741,75.85
Milkfish,2.59,Clay,Canal,Monsoon,15431,87.58
King Crab,4.51,Clay,Borewell,Summer,46271,73.63
Dungeness Crab,2.61,Clay,Borewell,Winter,39378,93.51
Salmon,1.69,Sandy,Borewell,Monsoon,13360,70.99
Soft Shell Crab,1.48,Clay,Canal,Monsoon,28948,84.51
Pangasius,2.8,Sandy,Borewell,Summer,23005,92.3
Barramundi,4.94,Clay,Canal,Monsoon,18208,89.48
Vannamei,1.23,Sandy,Borewell,Winter,8263,87.8
Barramundi,2.3,Sandy,River,Summer,19693,74.74
Cod,2.08,Clay,Canal,Summer,41192,79.06
Grouper,1.34,Loamy,Canal,Winter,42828,86.44
Vannamei,3.01,Loamy,River,Winter,16043,77.2
Tiger Prawn,0.56,Loamy,Borewell,Monsoon,17116,91.22
Black Tiger Shrimp,2.58,Clay,River,Monsoon,41363,88.69
Snapper,2.33,Sandy,Borewell,Summer,29697,79.15
Blue Swimmer Crab,4.91,Sandy,Borewell,Summer,20612,70.76
Snapper,2.09,Loamy,Canal,Winter,33320,78.49
Blue Swimmer Crab,2.39,Sandy,Canal,Winter,40652,89.23
Whiteleg Shrimp,2.06,Clay,River,Monsoon,33559,79.51
Tilapia,3.31,Sandy,River,Summer,15991,92.17
Snow Crab,2.31,Loamy,Canal,Monsoon,33479,89.1
Freshwater Prawn,1.12,Loamy,River,Winter,37249,70.55
Snapper,3.97,Sandy,River,Winter,36671,82.99
Mud Crab,0.74,Sandy,Canal,Winter,33034,75.75
Pangasius,3.59,Loamy,Borewell,Summer,22943,77.19
Banana Prawn,4.43,Clay,Canal,Winter,37264,85.88
Snapper,4.24,Loamy,River,Summer,18713,92.82
Whiteleg Shrimp,0.73,Clay,Canal,Summer,40913,87.07
Tuna,4.45,Clay,Borewell,Summer,32498,93.53
Tiger Prawn,1.76,Loamy,Borewell,Monsoon,48506,73.8
Dungeness Crab,0.75,Sandy,Borewell,Monsoon,34446,88.12
Tuna,3.25,Loamy,Borewell,Winter,21169,70.58
Black Tiger Shrimp,3.45,Clay,Borewell,Winter,30976,75.26
Pangasius,2.24,Clay,River,Monsoon,26252,77.05
Pangasius,2.77,Loamy,River,Summer,17722,76.92
Tuna,4.52,Clay,Canal,Monsoon,23050,71.03
Trout,4.21,Sandy,River,Monsoon,41487,85.12
King Crab,4.62,Loamy,Borewell,Winter,15178,78.23
Grouper,3.28,Loamy,Canal,Winter,25724,81.56
Vannamei,4.61,Sandy,River,Winter,9070,90.01
Tiger Prawn,0.9,Sandy,River,Winter,29977,88.29
Vannamei,1.79,Sandy,Canal,Monsoon,29178,86.77
Seabass,2.81,Sandy,Borewell,Monsoon,35154,79.26
Tilapia,1.79,Loamy,Canal,Summer,18001,80.92
Tilapia,0.63,Loamy,River,Monsoon,36546,80.62
Whiteleg Shrimp,3.93,Sandy,Canal,Monsoon,44600,84.09
Carp,2.25,Sandy,Borewell,Winter,9691,88.65
Banana Prawn,4.63,Clay,Canal,Monsoon,35563,89.58
Snapper,2.65,Sandy,River,Summer,32730,78.62
Freshwater Prawn,1.5,Sandy,River,Winter,4942,71.34
Snapper,0.78,Loamy,Borewell,Monsoon,9221,72.18
Salmon,4.32,Loamy,River,Summer,8987,94.0
Cod,3.13,Sandy,River,Monsoon,46233,89.56
Vannamei,4.19,Sandy,Canal,Monsoon,22800,83.89
Salmon,2.17,Loamy,Canal,Winter,34618,79.11
Seabass,3.05,Clay,Borewell,Winter,26198,80.46
Tilapia,1.46,Clay,Borewell,Winter,46984,82.35
Snapper,1.07,Clay,River,Summer,8886,81.55
Barramundi,4.77,Sandy,Canal,Summer,4087,90.21
Trout,4.47,Sandy,River,Monsoon,33170,71.14
Soft Shell Crab,1.03,Clay,Canal,Monsoon,29098,84.7
Barramundi,3.23,Loamy,Canal,Summer,8828,92.67
Salmon,2.76,Sandy,Borewell,Winter,43859,86.54
Snow Crab,3.44,Sandy,Canal,Summer,44336,94.78
Pangasius,0.58,Sandy,River,Summer,47667,91.91
King Prawn,2.65,Clay,Borewell,Winter,32238,82.64
Whiteleg Shrimp,2.79,Sandy,River,Winter,6750,90.85
Snapper,0.99,Sandy,Borewell,Winter,41843,89.76
Black Tiger Shrimp,0.76,Clay,River,Monsoon,22144,72.56
Salmon,2.56,Sandy,River,Monsoon,14313,83.69
Snow Crab,4.98,Loamy,Borewell,Summer,14094,93.96
Banana Prawn,2.21,Clay,Borewell,Monsoon,23301,82.76
Tilapia,4.13,Loamy,Canal,Monsoon,46008,87.36
Freshwater Prawn,3.52,Sandy,River,Monsoon,20048,78.57
Rohu,3.0,Sandy,River,Monsoon,6274,88.69
Black Tiger Shrimp,0.88,Clay,Borewell,Monsoon,7818,85.78
Grouper,2.83,Sandy,River,Winter,19984,88.14
Snapper,3.59,Clay,Canal,Summer,13797,83.24
Trout,1.36,Loamy,Canal,Summer,4427,85.38
Cod,2.26,Sandy,Borewell,Winter,25857,94.15
Cod,3.16,Loamy,Borewell,Summer,9544,84.69
Carp,3.61,Sandy,Borewell,Monsoon,16120,88.11
Rohu,2.04,Clay,River,Winter,20425,84.13
Carp,2.18,Clay,Canal,Summer,28767,82.81
Rohu,3.94,Sandy,Canal,Winter,42532,83.11
Snow Crab,2.18,Clay,Borewell,Monsoon,31413,84.87
Catfish,1.18,Loamy,River,Summer,37950,70.28
Barramundi,4.73,Sandy,Borewell,Summer,12258,77.24
Salmon,1.68,Sandy,Canal,Summer,26634,84.97
Snapper,1.96,Loamy,Canal,Summer,31164,78.67
Carp,2.09,Clay,River,Winter,8107,74.13
Blue Swimmer Crab,2.65,Loamy,River,Monsoon,10787,92.08
Carp,1.35,Sandy,Canal,Winter,26517,85.98
Whiteleg Shrimp,0.92,Clay,Borewell,Winter,45342,94.02
Grouper,2.82,Sandy,River,Winter,15316,71.12
Pangasius,4.25,Clay,Borewell,Winter,17657,80.08
Milkfish,3.23,Sandy,River,Monsoon,9982,83.89
Banana Prawn,3.73,Clay,River,Summer,13555,70.62
Rohu,2.05,Clay,Canal,Summer,4548,92.53
Salmon,4.06,Sandy,River,Winter,17068,78.9
Tuna,2.91,Clay,River,Monsoon,29433,81.52
Mud Crab,3.36,Loamy,Borewell,Summer,31076,70.52
Vannamei,4.11,Clay,Canal,Winter,44560,81.4
Trout,2.33,Clay,River,Summer,3956,80.66
Banana Prawn,1.11,Sandy,River,Summer,8163,78.92
Cod,4.28,Sandy,Canal,Winter,38859,79.56
Salmon,3.27,Clay,River,Winter,14243,79.94
Mud Crab,4.34,Clay,Canal,Monsoon,41681,92.19
Tilapia,1.95,Clay,Canal,Monsoon,15312,80.1
Dungeness Crab,1.66,Clay,Borewell,Monsoon,45771,80.79
Rohu,1.61,Clay,River,Winter,29922,72.59
Milkfish,2.29,Sandy,Canal,Monsoon,43393,76.07
Rohu,2.44,Sandy,Canal,Summer,30432,81.71
King Prawn,2.47,Clay,Canal,Summer,2577,80.67
Seabass,1.77,Sandy,Borewell,Summer,44681,80.2
Milkfish,1.83,Loamy,Borewell,Summer,15474,70.63
King Crab,4.13,Clay,Borewell,Winter,3314,86.19
Freshwater Prawn,4.85,Clay,Borewell,Monsoon,12125,79.87
Snapper,0.65,Clay,River,Summer,11427,79.72
Seabass,2.87,Loamy,Borewell,Winter,2530,76.96
King Crab,3.68,Clay,River,Summer,37551,91.3
Soft Shell Crab,4.87,Sandy,River,Monsoon,27828,89.57
Rohu,1.04,Clay,River,Summer,29183,78.38
Black Tiger Shrimp,1.53,Sandy,Borewell,Summer,5673,70.27
Milkfish,1.65,Clay,River,Winter,10094,81.31
Tiger Prawn,1.67,Clay,Canal,Summer,29263,93.91
King Crab,3.94,Sandy,River,Summer,13775,76.76
Blue Swimmer Crab,2.21,Clay,Borewell,Monsoon,33023,76.11
