Species,Pond_Area,Feed_Used,Culture_Days,Expected_Yield
Dungeness Crab,3.4,3824,107,5.06
Soft Shell Crab,1.6,2240,157,5.57
Tiger Prawn,1.8,1044,176,7.73
Soft Shell Crab,4.5,4109,110,7.21
Grouper,5.0,1011,111,4.66
Mud Crab,0.9,2769,150,3.28
Soft Shell Crab,0.9,4480,140,2.71
Vannamei,4.6,3091,108,9.98
Tuna,3.1,3249,147,6.48
Whiteleg Shrimp,4.2,3714,105,3.91
Banana Prawn,0.5,2129,127,9.16
Milkfish,3.2,1345,100,7.85
Dungeness Crab,4.8,4412,133,8.65
Seabass,4.0,3798,175,7.01
Mud Crab,3.9,833,157,9.68
Snapper,3.7,2130,177,2.59
Soft Shell Crab,4.8,2211,142,5.28
Milkfish,2.8,4344,171,7.96
Cod,1.3,4118,116,8.58
Dungeness Crab,2.6,4055,136,9.38
Carp,2.0,1372,164,8.95
King Prawn,4.3,4090,141,6.21
Black Tiger Shrimp,1.5,1930,132,9.49
King Crab,4.3,580,164,9.29
Milkfish,2.6,3153,107,5.46
King Prawn,1.8,3577,163,5.14
Black Tiger Shrimp,2.5,1821,115,3.7
Blue Swimmer Crab,4.5,1223,103,8.46
Grouper,2.8,1520,169,5.97
Black Tiger Shrimp,3.6,1379,172,2.33
Whiteleg Shrimp,2.5,983,108,4.24
Tiger Prawn,4.3,3712,171,9.91
Black Tiger Shrimp,2.5,4375,157,7.21
Grouper,1.1,3622,154,7.72
Banana Prawn,3.3,3845,112,4.28
Grouper,1.4,2980,115,4.34
Snow Crab,4.3,4958,134,5.46
Snow Crab,4.8,3351,128,9.32
King Crab,2.9,4379,169,7.26
Tiger Prawn,1.6,1670,133,7.17
Tiger Prawn,1.2,4216,128,2.64
Barramundi,4.3,3967,103,6.42
Blue Swimmer Crab,0.8,2469,103,8.06
Cod,2.5,2416,118,8.47
Tiger Prawn,3.6,953,102,2.83
Tiger Prawn,0.8,1907,125,7.57
King Prawn,3.3,4616,117,7.15
Salmon,1.5,3200,154,5.32
Cod,4.4,772,169,4.7
Cod,2.8,3763,174,3.91
Seabass,3.7,2433,97,4.89
Milkfish,3.7,3361,109,7.72
Carp,2.1,2444,145,5.43
Freshwater Prawn,3.8,4226,111,8.06
Tuna,2.7,4198,156,9.23
Cod,2.2,1261,101,7.48
Seabass,1.6,790,118,3.08
Tuna,2.3,4269,121,7.46
Tuna,0.9,4843,134,7.73
Tiger Prawn,1.4,3636,96,6.87
Barramundi,2.2,2536,107,4.61
Carp,4.4,1642,152,7.46
Snow Crab,4.2,2121,174,7.05
Snow Crab,2.8,3042,116,3.14
Snow Crab,1.5,2578,127,9.72
Whiteleg Shrimp,2.0,4328,96,4.37
Catfish,1.1,2695,162,5.84
Mud Crab,4.6,4581,117,8.69
Carp,0.6,1688,100,2.29
Whiteleg Shrimp,4.7,3537,135,7.86
Tilapia,3.6,1750,155,4.59
Vannamei,3.7,3982,95,4.98
Banana Prawn,3.7,1902,147,9.23
Rohu,4.9,3345,132,4.95
Black Tiger Shrimp,4.2,3762,152,7.67
Tuna,2.3,958,164,9.0
Banana Prawn,1.6,4863,142,5.99
Seabass,4.4,2692,137,9.13
Mud Crab,4.4,1694,103,6.79
King Crab,2.9,2942,120,2.25
King Crab,2.9,2121,94,8.99
Barramundi,1.3,1043,171,8.5
Black Tiger Shrimp,4.1,4119,101,6.54
Catfish,0.9,968,157,7.83
Catfish,1.4,4138,106,8.87
Rohu,3.4,3201,118,5.97
Carp,4.3,2953,131,7.72
Seabass,3.0,4093,109,5.39
Soft Shell Crab,2.4,4388,128,5.9
Whiteleg Shrimp,2.8,4379,99,3.77
Grouper,4.7,4567,144,8.04
Tilapia,3.3,780,92,8.03
Barramundi,1.2,2320,126,7.48
Soft Shell Crab,1.3,514,151,5.2
King Prawn,2.4,986,179,8.8
Dungeness Crab,2.9,2424,160,4.56
Mud Crab,3.3,854,163,7.47
Banana Prawn,4.5,617,138,3.47
Grouper,2.4,3055,146,9.43
King Crab,0.8,2225,96,7.94
Whiteleg Shrimp,0.7,1046,123,4.72
Whiteleg Shrimp,2.3,3740,173,9.19
Rohu,2.3,1631,155,4.58
Tuna,2.6,4918,117,2.62
Tuna,1.6,4372,113,5.73
Black Tiger Shrimp,3.5,4628,159,8.01
King Crab,3.3,3092,113,7.91
Whiteleg Shrimp,4.3,3847,139,5.2
Pangasius,3.4,4419,172,6.47
King Crab,4.3,1424,109,8.35
Dungeness Crab,1.3,3427,137,4.95
Catfish,2.0,2790,144,7.05
Blue Swimmer Crab,2.2,1004,109,7.97
Catfish,1.2,2076,160,5.87
Cod,4.7,883,127,4.78
Freshwater Prawn,4.5,3421,93,8.34
Tiger Prawn,0.5,4292,128,4.87
Pangasius,4.4,1781,90,2.25
Banana Prawn,4.6,3436,164,7.65
Trout,4.6,2200,93,7.83
Pangasius,2.6,1433,127,2.12
Pangasius,1.9,4059,153,5.33
Trout,3.8,4120,123,5.06
Seabass,3.0,588,102,6.92
Trout,3.6,3512,110,4.33
Soft Shell Crab,1.5,4455,163,4.4
Grouper,2.5,2571,144,2.89
Trout,4.0,4176,148,3.9
Whiteleg Shrimp,1.5,2467,149,4.12
King Prawn,3.2,3272,124,5.0
Blue Swimmer Crab,3.2,794,105,5.97
Carp,4.2,3184,130,7.06
Vannamei,1.7,4762,177,4.26
Freshwater Prawn,3.8,3159,167,5.88
Rohu,1.6,2507,150,3.45
Vannamei,4.7,4746,180,6.13
Whiteleg Shrimp,3.1,2195,171,7.03
Snapper,4.7,1913,146,6.71
King Crab,3.3,4278,132,3.26
Vannamei,1.3,4254,159,3.04
Freshwater Prawn,2.5,1847,135,6.2
Tuna,4.8,4062,151,3.32
Pangasius,3.2,1350,104,8.26
Whiteleg Shrimp,0.5,2274,180,9.89
Snapper,4.8,4955,120,3.53
Barramundi,1.4,2029,103,8.82
Salmon,4.7,3702,159,3.86
Black Tiger Shrimp,4.5,793,164,6.34
Whiteleg Shrimp,3.1,4944,107,4.05
Snapper,1.9,2934,116,4.61
Grouper,3.2,4182,150,7.98
Milkfish,1.3,1256,134,7.57
Mud Crab,1.0,4961,158,4.86
Carp,2.9,1714,126,5.5
King Crab,2.4,1434,178,2.74
Tiger Prawn,2.4,960,159,3.31
Snow Crab,0.7,3238,176,9.74
Vannamei,3.3,4434,169,3.34
Carp,2.6,1697,161,4.05
Catfish,4.9,866,94,7.21
King Crab,1.2,3984,120,9.65
Tilapia,1.7,1695,118,6.81
Blue Swimmer Crab,1.3,1331,170,6.1
Dungeness Crab,0.8,3860,122,6.35
Barramundi,3.8,3825,166,4.65
Vannamei,4.0,4648,102,8.57
Grouper,3.0,3861,160,7.06
Carp,3.3,4386,163,6.5
Barramundi,1.0,4124,105,8.22
Soft Shell Crab,4.5,3257,99,2.85
Soft Shell Crab,2.8,2505,110,5.61
King Crab,5.0,1978,113,4.28
Blue Swimmer Crab,4.4,4847,93,4.15
Trout,2.9,4081,168,9.09
Black Tiger Shrimp,3.3,4366,122,8.54
Seabass,2.4,4697,117,7.31
Mud Crab,1.0,1156,122,3.03
King Prawn,2.3,3508,155,7.5
Whiteleg Shrimp,2.6,3009,180,6.88
Banana Prawn,2.5,3983,149,5.58
Tuna,3.6,1567,160,7.68
Mud Crab,0.6,1698,131,6.48
Trout,2.2,3561,153,9.96
Grouper,3.0,3098,134,2.36
Carp,1.4,1658,122,6.87
Cod,2.2,1192,110,8.54
King Prawn,3.0,3002,126,6.64
Blue Swimmer Crab,2.7,1807,176,6.12
Mud Crab,1.2,3560,97,7.56
Salmon,3.2,1726,98,9.05
Trout,0.9,4652,126,9.81
Barramundi,3.1,4752,123,6.74
Tiger Prawn,4.9,927,138,3.92
Rohu,1.2,2727,127,2.24
Tuna,3.4,4562,170,7.11
Salmon,1.5,2732,90,6.97
Whiteleg Shrimp,4.4,3903,130,7.43
King Crab,2.8,980,172,9.61
Milkfish,1.3,4814,123,3.97
Tuna,4.8,2805,180,8.52
Freshwater Prawn,1.4,2439,167,8.19
King Prawn,3.5,1941,171,3.07
Cod,0.7,2397,138,5.49
Trout,3.3,930,104,9.43
Salmon,2.9,2785,141,9.44
Banana Prawn,3.4,4643,149,4.93
Snow Crab,1.8,874,157,3.24
Blue Swimmer Crab,4.7,675,128,2.77
Barramundi,1.5,1697,111,5.86
King Prawn,1.6,3301,93,7.66
Trout,3.7,1397,118,2.94
Salmon,4.7,4180,133,9.43
Carp,0.7,4536,102,4.26
Rohu,2.2,4861,105,6.85
Cod,4.2,1940,98,9.27
Tiger Prawn,2.2,2176,124,3.69
Mud Crab,1.8,3341,111,6.07
Snow Crab,1.8,1821,168,2.2
Cod,4.0,3999,95,6.2
Banana Prawn,2.9,3199,146,3.09
Pangasius,4.1,2942,174,3.03
Tuna,1.7,3842,152,6.35
Catfish,1.7,1048,158,7.12
Catfish,1.3,692,108,6.31
Milkfish,0.6,4152,125,7.92
Grouper,2.2,1306,150,4.4
Banana Prawn,4.5,4783,133,8.69
Snow Crab,2.8,2738,154,4.32
Black Tiger Shrimp,3.5,1632,146,3.96
Salmon,3.2,1743,116,5.3
Banana Prawn,2.3,663,136,5.05
Soft Shell Crab,2.2,1331,145,7.1
Milkfish,3.8,4249,119,8.48
Vannamei,3.7,1034,160,2.43
Black Tiger Shrimp,2.0,4628,129,4.84
Tilapia,1.2,3919,96,2.85
King Prawn,1.7,1291,140,3.53
Salmon,4.6,3618,117,7.86
Banana Prawn,2.5,4180,154,2.06
Mud Crab,3.0,4994,120,8.57
King Prawn,3.9,1083,118,5.13
Milkfish,3.4,3382,172,9.89
Whiteleg Shrimp,3.3,2894,90,9.82
Cod,3.0,1617,113,8.97
Tilapia,3.0,1765,132,4.62
Blue Swimmer Crab,3.7,1661,178,6.03
Seabass,4.9,855,137,7.39
Pangasius,4.5,1084,179,8.38
Dungeness Crab,1.1,4682,100,2.11
King Prawn,4.8,3224,103,7.19
Whiteleg Shrimp,2.3,2657,128,6.4
King Crab,1.0,2976,91,9.82
Vannamei,1.3,3013,168,4.36
Black Tiger Shrimp,3.1,1719,149,6.7
King Prawn,3.8,4824,123,8.32
Pangasius,2.5,4334,130,9.32
Soft Shell Crab,2.8,3569,145,9.44
Carp,4.3,3636,92,6.4
Tuna,1.8,506,173,8.88
Salmon,4.4,2219,150,9.23
Carp,4.4,4076,102,8.55
Snow Crab,3.7,2642,137,6.9
Salmon,1.8,3147,123,4.9
Dungeness Crab,0.8,2594,172,6.72
Cod,2.8,4191,132,5.37
Barramundi,3.5,2458,104,5.05
Tiger Prawn,2.7,1556,101,7.76
Catfish,2.4,3825,110,5.17
Dungeness Crab,2.8,3995,145,4.72
Tiger Prawn,2.2,2349,179,6.48
Salmon,3.3,1130,154,2.84
King Prawn,2.8,3237,100,8.71
Mud Crab,4.1,4159,122,2.34
Seabass,3.7,4626,148,5.21
Pangasius,3.2,3825,136,2.39
Soft Shell Crab,4.3,1213,176,8.01
Blue Swimmer Crab,2.9,4570,112,6.36
Barramundi,3.2,523,143,6.48
Rohu,4.3,2604,148,4.15
Dungeness Crab,4.0,1211,144,9.62
Tuna,2.2,1165,165,6.04
Grouper,1.5,3813,123,8.92
Banana Prawn,2.0,3425,92,6.8
Blue Swimmer Crab,3.0,3586,149,5.53
Blue Swimmer Crab,2.9,2223,98,4.8
Milkfish,0.6,3762,98,5.65
Tiger Prawn,0.8,1147,99,5.29
Dungeness Crab,4.6,3019,140,8.03
Tiger Prawn,4.3,1416,172,7.89
Tiger Prawn,4.0,1283,143,9.19
Catfish,4.9,3752,168,2.69
Black Tiger Shrimp,2.6,3658,153,6.02
Blue Swimmer Crab,3.2,3057,179,4.37
King Prawn,3.2,872,109,4.53
Tilapia,4.5,1781,125,9.02
Tilapia,1.4,3647,153,9.04
Rohu,1.9,3550,142,9.88
Soft Shell Crab,1.2,4902,160,4.79
Vannamei,3.9,3763,155,4.76
King Crab,1.7,3655,125,4.42
Freshwater Prawn,0.7,1808,101,8.77
King Crab,2.4,2737,159,8.91
Seabass,2.8,3031,176,5.02
Black Tiger Shrimp,4.3,4337,122,5.44
Black Tiger Shrimp,1.2,4371,145,9.45
Whiteleg Shrimp,1.1,3571,101,6.92
Tiger Prawn,4.0,2646,96,9.82
Snapper,1.8,4246,159,5.05
Mud Crab,3.0,2091,128,7.74
Grouper,1.8,2487,124,2.75
Dungeness Crab,1.8,782,115,2.68
Vannamei,3.1,2183,140,7.24
Soft Shell Crab,1.6,3698,174,6.67
Whiteleg Shrimp,4.5,3310,176,5.19
Trout,3.3,4447,153,7.82
King Crab,1.1,715,140,6.34
Pangasius,3.1,3385,165,7.65
King Prawn,5.0,2732,122,2.21
Rohu,4.3,528,131,9.27
Dungeness Crab,3.8,2196,158,9.97
King Prawn,2.7,3806,159,8.65
Pangasius,3.2,1638,150,9.89
Blue Swimmer Crab,4.5,2251,165,5.29
Soft Shell Crab,3.6,4542,152,3.45
Seabass,3.3,1896,91,2.04
Freshwater Prawn,3.0,4904,165,9.91
Cod,2.1,2443,138,7.11
Salmon,2.4,2523,141,9.39
Cod,1.3,1819,93,9.91
Seabass,1.7,4873,128,6.22
Milkfish,2.1,4515,179,3.28
Blue Swimmer Crab,4.4,4076,97,5.97
Mud Crab,3.4,3785,138,6.06
King Prawn,4.8,2389,141,6.89
Cod,3.3,1531,130,8.27
Tuna,0.8,1310,114,6.87
Rohu,1.4,2018,104,5.35
Snapper,3.1,4224,103,4.58
Cod,1.3,3279,123,2.21
Whiteleg Shrimp,1.3,3110,111,8.01
Black Tiger Shrimp,2.3,2687,116,4.83
Milkfish,4.4,2361,149,2.19
Mud Crab,2.0,2942,115,6.35
Whiteleg Shrimp,1.9,2980,92,7.04
Banana Prawn,1.3,3715,92,4.11
Blue Swimmer Crab,2.9,2006,106,2.87
Dungeness Crab,0.6,2771,98,7.81
Mud Crab,4.7,1387,155,2.02
Trout,2.2,1614,99,7.38
Grouper,0.8,4844,177,5.68
Dungeness Crab,0.9,4468,148,2.12
Milkfish,4.1,1078,105,4.6
Tuna,4.1,2182,111,6.84
Vannamei,3.1,2376,128,9.71
Dungeness Crab,4.8,3676,134,6.31
Grouper,1.2,2597,141,6.37
Pangasius,1.2,2095,140,5.57
Carp,3.6,4228,116,8.11
Freshwater Prawn,1.0,4617,175,6.95
Pangasius,0.9,4556,172,2.17
Trout,2.0,3422,176,5.21
Grouper,3.9,1005,120,3.24
Snow Crab,2.7,3334,143,7.58
Tiger Prawn,2.2,3530,174,2.88
Milkfish,0.6,586,168,3.91
Carp,2.1,4169,138,3.14
Snow Crab,4.2,726,131,4.83
Whiteleg Shrimp,2.8,3356,90,6.25
Salmon,0.8,637,160,7.84
Whiteleg Shrimp,2.5,4581,111,8.0
Snapper,3.0,813,169,3.31
Seabass,0.6,2213,163,9.53
Pangasius,3.7,3595,149,6.31
Tilapia,2.7,4503,153,5.01
Vannamei,1.9,1449,163,2.53
Catfish,3.4,2320,125,5.41
Mud Crab,3.0,4127,173,7.48
Blue Swimmer Crab,0.5,1105,127,2.75
Grouper,4.1,2958,91,3.65
Dungeness Crab,3.5,1662,95,5.93
King Prawn,2.3,836,117,7.4
Trout,1.2,3708,158,2.47
Seabass,1.0,1406,116,8.28
Whiteleg Shrimp,1.1,4360,174,4.07
Dungeness Crab,1.2,3865,169,3.72
King Crab,1.6,1283,134,7.76
Salmon,0.8,4576,172,8.22
Whiteleg Shrimp,4.6,4509,96,7.49
Banana Prawn,4.9,2820,154,9.28
Whiteleg Shrimp,2.1,600,171,2.41
Black Tiger Shrimp,1.4,2101,130,9.58
Seabass,0.9,2425,176,6.1
Barramundi,4.3,3202,106,8.48
Soft Shell Crab,3.3,4556,101,7.23
King Prawn,4.2,4770,163,3.6
Tilapia,2.5,2153,120,5.59
King Prawn,4.2,4872,99,6.91
Whiteleg Shrimp,4.6,4295,115,8.58
Banana Prawn,2.8,3676,152,3.48
King Crab,2.3,4635,155,5.49
King Prawn,2.6,3177,118,9.47
Tilapia,1.1,4059,172,6.97
Whiteleg Shrimp,4.6,4849,146,9.49
Seabass,0.8,1316,170,4.81
Black Tiger Shrimp,4.1,4522,129,5.46
Tilapia,3.3,4679,124,2.92
Whiteleg Shrimp,0.7,4953,109,3.94
King Prawn,2.4,760,139,7.14
Dungeness Crab,0.9,990,107,8.31
Vannamei,3.9,1806,172,2.85
Carp,1.5,4051,126,4.08
Seabass,3.4,3566,155,8.62
Catfish,3.4,741,98,7.93
Pangasius,2.6,3345,165,2.71
Mud Crab,1.7,4669,122,2.37
Tilapia,4.2,708,167,3.21
Snapper,0.5,2238,151,6.21
Banana Prawn,4.8,4161,172,5.68
Blue Swimmer Crab,3.2,1164,144,3.47
Pangasius,3.6,4199,118,7.38
Mud Crab,0.9,1421,156,8.33
Mud Crab,4.2,1309,171,5.1
Black Tiger Shrimp,4.3,4755,113,3.26
Tiger Prawn,2.7,2414,104,4.52
Trout,2.0,3170,125,4.47
Snow Crab,2.3,3506,105,4.17
Mud Crab,1.9,3235,160,6.75
Rohu,4.6,4449,178,4.96
Tiger Prawn,3.8,3072,97,2.87
Snapper,1.1,3516,131,8.42
Soft Shell Crab,0.8,3053,175,4.47
Blue Swimmer Crab,0.5,1889,122,5.64
Pangasius,4.9,2322,134,9.77
Trout,0.7,1449,149,7.56
Milkfish,0.6,4340,162,6.53
Milkfish,4.5,4509,98,8.43
Soft Shell Crab,3.4,1067,95,7.39
Vannamei,1.5,3390,135,4.59
Freshwater Prawn,4.3,3591,105,4.0
Seabass,0.8,4940,149,6.3
Salmon,4.0,2821,117,9.48
Whiteleg Shrimp,4.3,4534,138,9.59
Mud Crab,3.0,1874,152,2.08
Freshwater Prawn,2.0,1315,120,7.0
Milkfish,4.0,1285,161,9.72
Black Tiger Shrimp,3.1,2953,180,6.58
Snapper,2.0,3595,112,2.69
Banana Prawn,4.1,1601,140,5.65
Tuna,0.8,859,138,8.02
Black Tiger Shrimp,3.7,1517,155,9.41
Dungeness Crab,1.2,3520,104,8.78
Milkfish,1.2,4400,174,3.47
Tilapia,4.4,3059,100,6.69
Rohu,1.7,4574,93,8.32
Tilapia,3.9,2702,176,8.23
Vannamei,2.8,2752,163,5.4
Snapper,0.9,2569,169,7.6
Catfish,3.4,2425,111,9.26
Catfish,3.3,3152,138,9.37
Tilapia,0.9,4390,91,5.52
Catfish,4.4,3973,90,4.75
Freshwater Prawn,1.8,2133,129,3.19
Carp,4.3,2852,104,2.46
Mud Crab,4.5,1127,130,3.37
Dungeness Crab,4.9,1393,119,9.94
Tilapia,3.4,503,137,3.7
Carp,3.3,1293,95,2.24
Grouper,2.1,769,137,7.93
Freshwater Prawn,4.5,2054,167,4.09
Cod,1.5,2635,171,6.95
Pangasius,3.4,1238,155,9.86
Catfish,2.0,3117,159,3.55
Barramundi,4.9,3014,124,7.84
Rohu,2.8,3102,115,5.69
Trout,0.6,4537,143,8.32
Barramundi,0.9,1486,170,4.13
Pangasius,1.1,3715,140,5.46
Milkfish,0.7,1403,103,7.94
Seabass,4.6,2131,133,8.6
Pangasius,1.1,2803,103,6.88
Seabass,1.0,3274,90,5.53
Catfish,1.0,2630,132,2.49
King Prawn,4.7,3996,135,9.81
Grouper,2.2,766,171,9.98
Snow Crab,4.9,910,97,5.51
Banana Prawn,4.0,4728,135,7.77
Tuna,5.0,1136,171,2.45
Grouper,3.5,654,107,9.04
Freshwater Prawn,0.6,2871,165,6.65
Barramundi,2.9,1982,168,9.53
Freshwater Prawn,3.8,3453,120,8.69
King Crab,1.5,4514,180,2.85
Trout,3.0,2243,164,8.27
Tilapia,4.7,4093,111,9.07
Soft Shell Crab,0.5,4407,121,4.75
Pangasius,2.2,3586,123,5.93
Black Tiger Shrimp,4.1,814,116,3.44
Dungeness Crab,0.6,1807,97,9.92
Rohu,3.8,4171,123,5.84
Black Tiger Shrimp,3.2,3320,99,9.1
Blue Swimmer Crab,3.7,1526,175,7.94
Snapper,1.5,3750,154,3.67
Snapper,2.4,1355,142,8.89
Vannamei,1.6,2232,168,2.95
Whiteleg Shrimp,3.3,3284,125,5.48
Pangasius,4.9,3915,155,2.66
Dungeness Crab,4.4,2751,139,7.36
Snapper,3.6,820,131,7.68
Salmon,2.8,3571,123,2.6
Tuna,4.6,3585,146,8.95
Tuna,4.9,1489,153,9.93
Milkfish,4.0,2899,154,4.85
Blue Swimmer Crab,3.2,1382,145,8.27
Tilapia,4.6,1831,102,7.08
Blue Swimmer Crab,0.8,4847,147,5.01
Blue Swimmer Crab,4.0,1701,108,6.04
Salmon,1.8,3406,147,9.71
Cod,0.6,4205,119,5.59
Dungeness Crab,3.3,504,154,2.46
King Crab,3.5,1510,130,9.54
Tiger Prawn,3.1,1377,133,9.76
King Prawn,1.6,2701,121,6.61
Whiteleg Shrimp,4.5,1508,176,7.46
Barramundi,4.0,728,156,8.51
Catfish,1.0,2614,179,9.24
Mud Crab,4.4,2491,110,2.22
Freshwater Prawn,3.7,3210,158,9.0
Salmon,3.8,3828,176,8.9
Carp,4.8,1901,90,2.55
Barramundi,1.9,4503,174,9.84
Snow Crab,2.1,2696,133,9.97
Seabass,3.8,2585,149,2.37
Seabass,2.9,1451,128,7.69
Snapper,0.6,2075,144,6.46
Pangasius,2.9,1868,98,3.19
Grouper,0.9,2402,175,6.91
King Crab,4.5,2784,162,8.26
Tuna,1.1,3370,146,8.65
King Prawn,2.8,4072,175,9.37
Tilapia,3.4,2905,92,3.57
Banana Prawn,3.1,3483,161,4.12
Salmon,3.9,1484,98,4.76
Trout,4.9,4626,125,6.15
Vannamei,1.0,1149,105,9.81
Carp,4.2,924,115,8.15
Vannamei,1.1,3031,161,9.25
Tuna,1.5,4762,124,4.28
Pangasius,2.6,2507,99,4.22
Grouper,5.0,545,141,6.45
Cod,2.7,2523,119,4.65
Carp,1.3,957,136,2.71
Catfish,1.8,1078,143,8.38
King Crab,0.9,1564,168,5.61
Cod,2.7,1218,154,7.38
Vannamei,4.4,4175,101,4.35
Tuna,2.2,3348,140,4.19
Soft Shell Crab,1.4,3462,126,8.5
Tiger Prawn,4.5,2563,174,2.23
Trout,3.3,4070,157,3.53
Catfish,2.6,4565,155,4.11
Salmon,4.5,4168,115,2.17
Blue Swimmer Crab,4.5,1193,108,8.65
King Crab,2.1,1887,101,9.3
Seabass,2.4,4715,120,3.72
Tiger Prawn,2.6,3334,99,7.55
Mud Crab,2.1,2887,140,4.59
Soft Shell Crab,1.6,912,125,4.54
Banana Prawn,2.9,1712,103,9.58
Dungeness Crab,2.5,808,94,6.72
Vannamei,1.0,2731,159,3.06
King Prawn,3.6,2311,159,6.91
Milkfish,1.0,2783,124,2.86
Freshwater Prawn,3.3,4190,119,4.04
King Prawn,0.8,1617,172,5.13
Salmon,2.5,1437,166,5.64
Tilapia,0.8,3553,107,5.09
Black Tiger Shrimp,3.1,517,141,3.16
Tiger Prawn,0.9,4942,132,2.89
Pangasius,2.7,2609,132,6.34
Snapper,3.9,1945,160,6.85
Cod,2.5,3523,157,7.05
Whiteleg Shrimp,2.5,1448,98,4.58
Rohu,4.1,2233,132,7.77
Tiger Prawn,2.1,2205,130,4.37
Soft Shell Crab,0.6,4127,110,8.94
Tuna,1.8,815,116,5.93
Pangasius,1.2,2093,171,5.46
King Crab,1.2,2177,141,4.15
Tuna,4.7,740,134,9.13
Whiteleg Shrimp,3.0,1597,132,2.85
Tuna,3.4,3455,136,5.52
Tiger Prawn,4.6,4565,167,3.92
Salmon,3.3,1486,108,2.31
Milkfish,4.2,2166,166,9.26
Tuna,4.4,4013,94,2.56
Carp,4.4,3558,151,3.45
Trout,3.8,1243,179,6.96
Freshwater Prawn,3.6,2308,135,4.53
Catfish,2.2,604,112,2.78
Soft Shell Crab,2.2,2845,140,2.33
Barramundi,3.1,4646,180,8.18
Tuna,4.2,2602,159,3.05
Cod,4.8,3557,103,7.75
Snow Crab,2.9,658,124,2.85
King Prawn,0.9,992,112,7.6
Dungeness Crab,0.8,1345,166,8.55
Dungeness Crab,3.5,547,136,7.49
Vannamei,1.0,3608,126,5.72
Tiger Prawn,2.2,4825,92,9.78
Barramundi,3.3,2776,130,6.22
Black Tiger Shrimp,4.4,1022,162,5.3
Tuna,4.8,4851,124,2.7
Tuna,4.6,4167,95,3.86
Mud Crab,4.3,3770,135,5.77
Snapper,5.0,2864,179,2.59
Dungeness Crab,3.8,2315,138,9.46
Tiger Prawn,3.5,3443,151,4.22
Banana Prawn,2.3,2551,158,7.93
Carp,3.1,2364,137,7.56
Black Tiger Shrimp,1.9,3933,176,9.34
Snapper,5.0,1512,90,6.08
Freshwater Prawn,2.5,4977,174,7.47
Whiteleg Shrimp,2.3,3527,174,5.48
Mud Crab,3.1,2377,134,2.65
Soft Shell Crab,4.2,2203,133,4.87
Mud Crab,4.6,3063,92,9.38
Tilapia,4.4,705,171,9.61
Dungeness Crab,3.1,2572,108,5.98
Whiteleg Shrimp,4.2,514,135,2.83
Blue Swimmer Crab,2.9,2894,107,4.32
Grouper,1.2,1168,176,9.38
Carp,2.2,3716,180,8.97
Pangasius,2.5,4712,129,6.03
Mud Crab,2.4,4210,104,6.02
Salmon,1.5,1184,135,2.26
Seabass,3.3,1046,179,4.25
Milkfish,3.8,3541,161,3.01
Carp,0.7,2556,177,3.75
Tiger Prawn,4.3,2063,132,7.24
Black Tiger Shrimp,3.4,2335,149,6.42
Catfish,0.5,4687,122,8.26
Snow Crab,1.3,4947,178,6.03
Whiteleg Shrimp,4.1,2074,108,3.86
Banana Prawn,1.8,2973,127,4.22
Snow Crab,3.7,3895,171,9.15
Blue Swimmer Crab,1.9,4174,138,5.39
Cod,4.0,4619,105,4.07
Black Tiger Shrimp,2.0,2917,115,4.54
Pangasius,3.3,3906,95,3.99
Carp,4.4,3463,165,3.03
Seabass,2.3,3872,112,5.65
Snapper,2.7,959,116,4.76
Grouper,4.8,2707,174,7.87
Tiger Prawn,3.5,4506,119,9.88
Rohu,0.6,2608,168,2.89
Banana Prawn,2.9,1686,161,8.52
Barramundi,1.7,805,126,8.68
Whiteleg Shrimp,2.0,552,171,6.91
Soft Shell Crab,1.2,4087,143,3.57
Black Tiger Shrimp,4.0,1879,121,3.93
Freshwater Prawn,3.1,2467,170,5.36
Salmon,3.2,2605,94,8.23
Whiteleg Shrimp,3.5,1118,147,6.81
Salmon,2.5,1023,117,9.33
Rohu,1.4,3946,130,8.3
Barramundi,0.6,3381,146,3.94
Cod,2.1,1314,104,9.32
Blue Swimmer Crab,3.6,1856,139,9.98
Catfish,4.2,1972,117,2.77
Snow Crab,2.3,3232,113,9.13
Trout,1.1,2555,180,8.35
Snapper,2.6,586,180,8.01
Banana Prawn,0.7,4401,119,6.23
Whiteleg Shrimp,2.4,3222,112,8.22
Snow Crab,3.3,2440,154,9.41
Freshwater Prawn,2.0,1405,170,9.51
Dungeness Crab,0.6,3442,168,6.65
Tuna,2.5,3797,144,6.68
Vannamei,2.1,2372,146,5.71
Trout,1.1,4327,115,8.52
Tuna,2.7,4844,119,9.24
Dungeness Crab,3.8,3994,112,6.66
Pangasius,4.2,4953,163,9.02
Freshwater Prawn,2.5,3494,168,7.73
Black Tiger Shrimp,3.5,2127,168,5.48
Mud Crab,0.6,3754,115,7.03
Rohu,4.3,1893,131,2.71
Pangasius,1.0,935,171,5.52
Cod,3.5,566,170,3.54
Pangasius,2.8,1320,135,8.76
Snow Crab,2.1,4359,134,5.12
Rohu,4.1,1757,131,6.45
Cod,3.7,2658,99,2.76
Blue Swimmer Crab,1.9,2877,130,3.26
Tiger Prawn,1.5,3964,138,2.88
Soft Shell Crab,2.8,1515,171,2.66
Salmon,4.8,3271,92,4.16
Freshwater Prawn,4.4,2029,99,6.05
Whiteleg Shrimp,3.5,4667,107,9.69
Freshwater Prawn,3.1,1476,163,4.99
