Country,State,Supplier_Name,Species,Seed_Quality_Rating,Contact,Distance_km
Bangladesh,Wisconsin,Hutchinson and Sons,Carp,5,573.989.6899x1314,165.3
India,North Carolina,Sanchez Ltd,Tuna,3,001-720-643-1447x519,44.7
Thailand,West Virginia,Johnson-Williams,Seabass,3,926-763-5060x0077,162.0
Thailand,California,"Lewis, Mills and Morrison",Tilapia,3,+1-368-928-7098x167,131.4
Bangladesh,Texas,Cabrera-Nunez,Salmon,4,(964)676-0148,26.6
Vietnam,Washington,Clark Ltd,Trout,3,(295)806-2246x435,121.5
Bangladesh,South Dakota,Green Inc,Snapper,3,001-495-631-9761x8923,196.7
Indonesia,Nevada,Watkins Inc,Mud Crab,4,630-837-5530,145.9
Thailand,Nebraska,"Bates, Mueller and Edwards",Grouper,3,991.887.0771x990,6.4
Bangladesh,Delaware,"Grimes, Mcmillan and Williams",Black Tiger Shrimp,4,7707190854,54.0
Indonesia,West Virginia,Waters-Little,Tiger Prawn,5,228-929-1753,83.3
Vietnam,New Mexico,Flores Ltd,Vannamei,5,(995)554-7230x885,181.2
Thailand,Washington,Ward-White,Black Tiger Shrimp,4,275.935.4714,94.2
India,New Mexico,Gonzalez LLC,Cod,3,462-521-0619,174.3
Indonesia,Florida,"Diaz, Gilbert and Jordan",Snow Crab,3,564.399.4922,90.5
India,Maine,Rivera-Hall,Mud Crab,3,868-317-4622x7132,162.7
Thailand,Wyoming,Floyd-Robinson,Black Tiger Shrimp,4,+1-550-253-3216x17510,7.5
Indonesia,Alabama,"Alexander, Parrish and Santos",Whiteleg Shrimp,3,001-230-206-0539x6333,124.7
Thailand,South Dakota,Miller-Smith,King Crab,5,489.868.0950x3056,24.1
Indonesia,Kentucky,Burns-Knapp,King Crab,5,+1-497-265-2930x5723,101.3
Indonesia,Connecticut,"Smith, Barker and Novak",Whiteleg Shrimp,4,001-647-557-5894x63766,56.3
Thailand,Utah,Clayton-Johnson,Freshwater Prawn,4,(865)776-6328,93.3
Bangladesh,South Carolina,Meyers-Stevens,Mud Crab,5,(649)880-0204x123,195.8
India,New Jersey,Castaneda-Delgado,Dungeness Crab,3,7777175959,133.0
Thailand,Vermont,Cordova-Roberts,Mud Crab,3,6496652913,134.2
Bangladesh,Indiana,"Jackson, Miller and Jensen",Barramundi,4,4483144347,114.4
India,North Carolina,Oliver-Williams,Mud Crab,4,952-430-8042,182.3
Thailand,Michigan,"Snow, Hamilton and Blair",Snow Crab,4,845.812.1206x538,52.7
Indonesia,Mississippi,"Bridges, Wood and Martin",Trout,3,(297)948-1277x571,33.3
Bangladesh,South Carolina,"Gray, Glover and Zhang",Seabass,3,936-290-0049x310,68.6
India,Delaware,Taylor-Bailey,Mud Crab,5,7327842398,48.7
Thailand,Florida,Delacruz-Franklin,Soft Shell Crab,4,761.598.3443x86600,32.0
India,Iowa,"Jackson, Hamilton and Miller",Blue Swimmer Crab,3,430-716-6519,180.4
Thailand,Wyoming,Richards Ltd,Freshwater Prawn,3,001-570-915-1371,47.8
Vietnam,Rhode Island,Turner-Reid,Salmon,4,001-786-410-9241x9514,145.8
India,Pennsylvania,Miller Group,Freshwater Prawn,4,+1-639-578-2176x61820,51.2
Bangladesh,North Carolina,Crawford Ltd,Banana Prawn,3,439-750-6236x769,58.6
Thailand,Iowa,Clark-Wagner,Tilapia,3,876-960-4318,91.3
Bangladesh,Oklahoma,Michael-Drake,Tiger Prawn,5,(877)341-7185x405,185.2
India,Washington,Joseph-Hicks,Freshwater Prawn,3,226.942.5283x910,129.3
India,Pennsylvania,Riddle-Anderson,Whiteleg Shrimp,5,(648)570-4948,99.8
Vietnam,Vermont,"Ellis, Roberts and Johnston",King Crab,4,778-756-3605x2058,140.0
Bangladesh,Utah,"Wright, Bolton and Dominguez",Tiger Prawn,4,(353)571-7871,196.6
Bangladesh,New York,King Ltd,Trout,3,493-934-7220x56936,41.2
Indonesia,New Mexico,Bell-Perez,Rohu,4,001-368-476-8882x239,159.7
Vietnam,Virginia,"Anderson, Parks and Willis",Pangasius,5,+1-712-544-1549,91.9
Bangladesh,South Dakota,Duncan-Nicholson,King Prawn,3,(969)753-3831,34.7
India,Rhode Island,Barry Group,Rohu,3,001-866-600-4613x1747,186.3
Bangladesh,Texas,Cardenas and Sons,Tiger Prawn,5,001-572-397-0730x30340,173.9
Bangladesh,Massachusetts,Howard-Phillips,Seabass,3,001-473-247-5231x84111,105.3
Bangladesh,South Carolina,"Barry, Kim and Adkins",Freshwater Prawn,3,778-381-1330x95747,118.8
India,Florida,"Johnson, Armstrong and Thornton",Snow Crab,3,001-509-621-9407x63310,93.2
Vietnam,New Hampshire,Green-Johnson,Barramundi,4,(579)969-8086x41422,84.7
Thailand,Alabama,"Glass, Cole and Townsend",Tilapia,4,+1-966-443-5480x16204,52.6
Bangladesh,New Hampshire,"Whitney, Garner and Pace",Catfish,3,374-667-0497,77.3
Vietnam,Arizona,Eaton-Hanson,Cod,4,+1-392-894-5755x4892,34.3
Bangladesh,Colorado,"Thompson, Velazquez and Williams",Seabass,5,378.459.2300x4277,23.2
India,Louisiana,"Singleton, Banks and Cruz",Pangasius,4,862.788.2498x9604,90.5
Indonesia,Georgia,"Christian, Martinez and Delgado",Vannamei,5,408-971-1362x915,98.9
India,North Dakota,"Hammond, James and Jones",Black Tiger Shrimp,3,001-809-727-2921x6344,30.2
Thailand,Oklahoma,Love and Sons,Tilapia,4,001-570-271-5082x100,143.1
India,Rhode Island,"Hart, Mitchell and Smith",King Prawn,5,7427680835,98.3
Thailand,Kansas,Taylor LLC,Banana Prawn,4,001-878-721-7009,52.4
Indonesia,Kentucky,Lawrence-Miller,Salmon,5,223-512-9741,30.2
Indonesia,Delaware,Acosta Ltd,King Crab,4,001-577-208-8851x08023,180.6
Indonesia,Indiana,"Harper, Warren and Nelson",Cod,3,273.450.2017,80.8
Thailand,Oregon,Weber-Swanson,Snapper,3,379.596.2690,109.5
India,Montana,Bennett LLC,Snow Crab,3,+1-223-922-7661x6175,15.8
Bangladesh,New Jersey,Washington-Contreras,Seabass,4,391.729.3263,44.1
Indonesia,Arkansas,Hayes-Harris,Pangasius,3,001-378-861-2687,47.1
India,Maryland,Rodriguez-Williams,Grouper,5,+1-289-237-5075x35121,58.5
Vietnam,Kentucky,"Jackson, Cook and Ramirez",Barramundi,4,476-275-7975,81.8
Bangladesh,Maine,Horton LLC,Salmon,4,001-463-236-2794,141.9
Bangladesh,Louisiana,Gibson-Cortez,Vannamei,3,7672708429,174.0
Indonesia,Maine,"Bullock, Walls and Gregory",Seabass,3,(465)281-4467x5966,127.8
India,Rhode Island,"Hernandez, Alvarez and Salas",Vannamei,3,241.311.4916x633,150.2
India,Pennsylvania,"Torres, Grimes and Martinez",Soft Shell Crab,5,726.661.3332x9812,96.3
Indonesia,Oregon,Thomas Inc,Snapper,3,001-548-245-5900x409,49.9
Indonesia,California,Sampson-Rodgers,Freshwater Prawn,3,001-639-246-2961x78217,117.4
India,New Hampshire,"Montgomery, Novak and Wheeler",Grouper,3,(779)544-9106,126.3
India,Missouri,Brown Inc,Freshwater Prawn,3,206-589-8867x94704,15.3
India,Mississippi,Bean-Hudson,Mud Crab,3,(497)382-2286x06375,145.3
Indonesia,Oregon,"Butler, Cross and Morris",Freshwater Prawn,3,+1-549-367-0803,83.5
Thailand,Alaska,Serrano-Ho,Salmon,3,553.885.4328,112.1
Thailand,South Carolina,Mcclain Ltd,Milkfish,5,001-371-804-7654x37443,168.9
India,Maryland,Martinez-Love,Barramundi,3,001-934-425-4233x1131,189.1
Bangladesh,Massachusetts,Williams PLC,Tilapia,4,409-924-0237x390,25.1
Thailand,Michigan,Green-Brock,Snapper,5,420.832.7256,159.0
India,Hawaii,Patterson-Noble,Dungeness Crab,5,(909)341-2610,159.6
Thailand,Illinois,"White, Haynes and Armstrong",Black Tiger Shrimp,5,(806)741-1809x7444,155.7
Bangladesh,Indiana,Gibson-Smith,Milkfish,4,238.306.9232,90.3
Vietnam,South Carolina,Hawkins PLC,Mud Crab,4,+1-471-369-4899x69910,79.8
India,Minnesota,"Woods, Green and Gray",Tuna,3,001-272-294-1073x681,95.8
Thailand,Maryland,Hunt-Bell,Pangasius,5,+1-422-699-5091x4274,135.6
Vietnam,Maryland,"Nguyen, Stevens and Newton",Trout,5,520-422-2823,97.0
Thailand,Tennessee,Mcbride and Sons,Snow Crab,5,(992)387-9455,13.3
Vietnam,Nebraska,Schultz PLC,Banana Prawn,4,(806)892-4414x8870,109.9
Indonesia,Vermont,"Love, Anderson and Johnson",Dungeness Crab,4,(680)641-7831x68030,61.8
India,Wyoming,Barnes Ltd,Trout,4,(633)695-2437x85402,196.9
Vietnam,Wyoming,Lewis and Sons,Catfish,5,(975)408-4984x6177,14.1
Bangladesh,Rhode Island,Wagner-Jackson,Dungeness Crab,5,835.853.2200x9738,161.9
Bangladesh,Pennsylvania,Smith-Wallace,Trout,4,514-923-3782,55.1
India,Arkansas,"Campos, Decker and Brown",Trout,3,992.690.8274x85269,103.2
Indonesia,North Dakota,"Sandoval, Luna and Copeland",Soft Shell Crab,4,+1-429-298-4703,93.1
India,Arizona,Clark Ltd,Freshwater Prawn,4,595.364.5258x271,26.9
Thailand,Nevada,Nolan-Johnson,Black Tiger Shrimp,3,(932)383-7419,119.3
Bangladesh,Nevada,"Young, Taylor and Hill",Seabass,5,+1-884-412-3938x64751,33.1
India,California,Lewis Inc,Milkfish,5,001-518-837-7348,26.9
Bangladesh,Alaska,"Jackson, Hunt and Murphy",Seabass,5,+1-633-207-0996x8318,28.7
Vietnam,South Dakota,"Nunez, Griffin and Newman",King Prawn,4,001-329-945-2111x1600,154.8
India,Wisconsin,Lowery Inc,Black Tiger Shrimp,4,(730)982-2025,50.8
Thailand,New Mexico,Strong Ltd,Dungeness Crab,3,972-958-2800x36962,36.3
Bangladesh,North Carolina,Morgan-Munoz,Snow Crab,5,233-867-9454,162.0
Vietnam,Mississippi,Kramer Inc,Barramundi,5,523.498.0121,36.4
Thailand,Arkansas,Brown Group,Black Tiger Shrimp,4,(766)709-8159,87.0
Bangladesh,South Carolina,Ward-Wagner,King Crab,3,(429)494-6546,74.5
Vietnam,Indiana,Mata LLC,Cod,4,001-939-231-9480x18861,98.0
Indonesia,Montana,Lopez-Lee,Mud Crab,5,001-633-307-6701,144.1
India,Kentucky,"Hines, Greer and Long",Milkfish,4,672-926-3878,44.1
Vietnam,Utah,Gray Inc,Carp,3,001-867-989-0960,108.4
Indonesia,Vermont,Swanson-Smith,Tiger Prawn,4,3134901396,65.8
Thailand,South Carolina,Orozco PLC,Barramundi,5,456-451-3497x898,175.4
Bangladesh,Alabama,Smith Group,Snow Crab,3,586-345-2732,45.6
Indonesia,Oklahoma,Huerta and Sons,Snapper,5,618-598-4231,77.2
Bangladesh,Colorado,Rogers Ltd,King Prawn,4,290-220-2309x5318,75.0
Vietnam,Virginia,Bell Group,King Prawn,3,682.625.3165x10659,83.3
Vietnam,Rhode Island,"Palmer, Hamilton and Welch",Pangasius,3,(920)440-5245x83490,109.7
Indonesia,Wyoming,Hill Group,Black Tiger Shrimp,5,420.267.4843x30126,165.1
Indonesia,Maine,Mueller-Garner,Black Tiger Shrimp,3,9648014258,10.5
Vietnam,Connecticut,James Ltd,Catfish,3,001-836-510-7897x52868,155.5
Indonesia,Georgia,Taylor LLC,Catfish,5,(359)436-5561x7279,121.7
Indonesia,Wisconsin,"Walters, Weber and Munoz",Snapper,3,619-519-6398,163.8
Vietnam,Ohio,Andrade-Gonzales,Soft Shell Crab,5,(556)372-3847x388,98.9
Vietnam,Kentucky,"Elliott, Webb and Franklin",Banana Prawn,3,698.584.3951x774,177.0
Indonesia,Oregon,Roth LLC,Seabass,5,518.535.1841x8387,83.1
India,New York,Rivera and Sons,Carp,4,(272)583-5721,35.3
Indonesia,Louisiana,Pierce Group,Cod,4,8993148644,199.6
India,Missouri,"Rodriguez, Wong and Moore",Cod,3,658.400.5384,105.7
Thailand,Pennsylvania,Rice-Parks,Tilapia,3,001-759-634-5121x25099,28.7
Thailand,Arkansas,Reese PLC,Freshwater Prawn,5,915.263.3465x65120,93.1
Thailand,Washington,Solomon Group,Trout,5,001-204-213-1360x92292,27.6
Indonesia,Illinois,Johnson Ltd,Tiger Prawn,4,001-739-627-5846x944,116.1
Thailand,Maryland,Ellis Ltd,Snapper,3,+1-440-229-8905,115.0
Thailand,Connecticut,Mullen Inc,Cod,5,(637)407-3899,192.5
India,Wisconsin,Wagner-Taylor,Catfish,3,(807)550-5174x71211,39.2
Vietnam,Louisiana,Sanchez Inc,Snow Crab,3,001-499-981-0977,151.2
Indonesia,Ohio,Blackburn and Sons,King Prawn,3,931.253.9852,114.9
Indonesia,Arizona,Foster-Carey,Tiger Prawn,4,+1-251-468-9643,95.7
Vietnam,Ohio,Stanley LLC,Milkfish,4,575-949-3475,43.5
Thailand,Iowa,Dean-Henderson,Banana Prawn,5,001-560-918-9493x7361,55.9
India,California,"Ellis, Davis and Castro",Grouper,4,+1-284-440-9613x2301,168.2
Thailand,California,Patel Inc,Black Tiger Shrimp,4,001-869-880-8574,88.1
Indonesia,South Carolina,"Bishop, Goodman and Burton",Vannamei,3,610.487.9566x5093,3.8
Thailand,Rhode Island,"Jordan, Shaw and Alvarez",Dungeness Crab,3,882.989.7031x786,139.7
Bangladesh,Arizona,Garcia and Sons,Black Tiger Shrimp,4,642-783-8014,103.8
Bangladesh,Florida,"Moran, Green and Hunter",Banana Prawn,5,784-240-7232x32424,125.3
Bangladesh,South Dakota,Diaz-Hernandez,Grouper,4,840-313-4879x41102,193.2
India,Connecticut,Roberts Inc,Dungeness Crab,3,001-430-506-7101x0929,28.7
Indonesia,Kansas,"Pope, Bailey and Brown",Tilapia,5,599-476-8525,109.3
Bangladesh,Kansas,Deleon-Cox,Banana Prawn,4,8444385522,176.6
Indonesia,Indiana,Riley-Osborn,Seabass,5,(819)672-4216x3266,62.2
Indonesia,Idaho,"Brooks, Alvarez and Mitchell",Soft Shell Crab,4,799-982-2101,41.7
Vietnam,North Dakota,Salas-Brown,Catfish,5,+1-290-312-3269,3.3
Bangladesh,Michigan,Ruiz Inc,Blue Swimmer Crab,4,001-917-216-2730x5835,52.4
India,North Dakota,Martinez-Estrada,Rohu,5,(285)316-7723x8501,185.5
Indonesia,Michigan,Lee and Sons,Tiger Prawn,5,3989548743,102.6
Vietnam,Missouri,Young-Hensley,Soft Shell Crab,3,614.889.5463,7.1
Bangladesh,Louisiana,Mcconnell Group,Carp,5,001-787-492-4071,94.6
India,Massachusetts,Crawford-Clark,Snow Crab,3,+1-406-797-4742x6057,115.3
Bangladesh,New York,Perry Inc,King Prawn,5,958.515.6545x03613,45.4
India,Arkansas,Spencer-Cruz,Milkfish,3,972.594.9866x28699,107.1
Vietnam,New Hampshire,"Aguilar, Watkins and Walker",Whiteleg Shrimp,4,649.756.2339,160.6
India,Pennsylvania,Johnson-Beck,Catfish,3,(304)604-3983,171.1
India,Indiana,"Sutton, Sweeney and Goodman",Snow Crab,5,+1-409-914-5516x2168,55.5
Indonesia,Minnesota,"Sullivan, Johnson and Diaz",King Crab,5,001-699-215-3253,121.8
India,New Mexico,Powell LLC,Seabass,3,9562082780,198.6
Indonesia,New Hampshire,"Walker, Mayo and Thompson",Barramundi,4,(839)845-9919x14204,16.1
Thailand,Arkansas,Wiggins Group,Whiteleg Shrimp,5,654.895.1023,74.0
Indonesia,Nevada,Mitchell LLC,Seabass,3,001-682-684-4502x8707,65.1
Vietnam,Nebraska,Moore-Gonzales,Tilapia,5,+1-512-423-3700,54.4
Bangladesh,Ohio,"Wheeler, Norris and Martinez",Cod,5,(847)383-6386x7128,156.7
Bangladesh,Michigan,"Sandoval, Schwartz and Henry",Tiger Prawn,3,(962)866-9281,11.0
Indonesia,Wyoming,"Marshall, Thompson and Hughes",Grouper,3,001-791-392-4304x442,116.2
India,Massachusetts,Davidson PLC,Tuna,4,8768583380,120.3
India,Wyoming,"Mitchell, Morris and Campbell",Milkfish,4,(557)377-8711,13.0
Bangladesh,California,Golden-Vasquez,Dungeness Crab,5,8116635232,92.6
Thailand,North Dakota,Jones Inc,Banana Prawn,4,001-420-847-2393x78363,20.0
Vietnam,Ohio,Garrett-Barnett,Grouper,5,537-758-2606x053,193.1
India,Hawaii,"Reeves, Cook and Jenkins",Banana Prawn,3,553.963.5865,137.1
Vietnam,Ohio,Pearson-York,Whiteleg Shrimp,5,001-331-685-9080x421,56.1
Thailand,Kansas,West-Lynch,Barramundi,5,(644)647-7473,168.1
Thailand,Washington,Lang-Welch,Tilapia,4,001-423-872-8789x477,79.6
Thailand,Montana,Taylor Ltd,Carp,5,(890)977-8326,199.8
Bangladesh,Nebraska,"Wright, Graves and Johnson",Barramundi,3,628-903-8981x966,103.8
India,North Carolina,Nelson Inc,Mud Crab,4,209-592-6215x533,44.3
Bangladesh,Maryland,Suarez-Cabrera,Tilapia,5,438-792-4131,184.0
Thailand,Louisiana,Montgomery-Martinez,Barramundi,5,+1-490-661-1552,160.5
Bangladesh,New Hampshire,Quinn Ltd,Salmon,4,+1-919-269-0943x597,113.7
Bangladesh,Maryland,"Robinson, Lam and Patterson",Snapper,4,467-686-8906x73878,55.0
Thailand,Indiana,Estrada LLC,Banana Prawn,5,463.793.5565,155.7
Bangladesh,Virginia,Harris-Johnson,King Prawn,4,3878237921,86.3
Bangladesh,Alaska,Donovan Inc,Vannamei,5,+1-656-787-7262x1733,118.4
Vietnam,Nevada,Smith-Roberson,Barramundi,3,(971)751-3062,93.8
Thailand,New Hampshire,"Santos, Cruz and Allison",Vannamei,3,8008957719,111.0
Thailand,Wisconsin,Doyle-Evans,Whiteleg Shrimp,4,244-781-0152x0960,161.7
Thailand,Arizona,Casey Inc,Tilapia,3,+1-593-353-8795x830,177.8
India,New Hampshire,Shannon-Robinson,Blue Swimmer Crab,4,+1-882-925-2162x35035,92.9
Thailand,Connecticut,Hickman-Lewis,Soft Shell Crab,3,001-871-309-8625x52818,81.6
Bangladesh,Wisconsin,Mata-Taylor,Snow Crab,4,403-222-7531,10.8
Bangladesh,South Carolina,Ortega and Sons,Barramundi,3,720-533-5724,146.9
Indonesia,Michigan,Johnson-Cunningham,Barramundi,4,423.679.2599x09463,32.6
Bangladesh,Louisiana,Martin Ltd,Milkfish,5,977-266-1710x9372,111.4
India,New Mexico,Vaughn LLC,Freshwater Prawn,5,+1-591-661-2224,138.4
Bangladesh,Washington,"Briggs, Stewart and Bass",Cod,3,(602)836-3971x0674,97.7
Indonesia,Kentucky,"Miller, Wong and George",Cod,3,774.705.2366x774,59.1
Bangladesh,Montana,Wright-Smith,Snapper,5,(402)700-4349,67.5
Vietnam,New York,Harvey-Guerrero,Vannamei,4,315-408-1934,41.9
Vietnam,Nebraska,Davis LLC,Banana Prawn,3,874-229-5341,168.0
Bangladesh,Oklahoma,Ramirez Ltd,Carp,3,001-778-843-7103x333,195.3
Thailand,Kansas,"Wade, Hunter and Mills",Seabass,5,648.254.7769x844,57.0
Thailand,Idaho,"Booker, Lopez and Edwards",Grouper,4,876-245-5654x998,159.1
Vietnam,North Carolina,Bowen-Travis,Rohu,3,916.584.9585,40.7
Indonesia,Florida,Tucker PLC,Banana Prawn,3,585-826-7852x9227,22.0
Vietnam,Florida,Robinson-Lopez,Cod,5,968.839.5239,158.6
India,Montana,Pearson-Wilson,King Prawn,5,500.989.3359x926,164.8
Vietnam,Wisconsin,Walker-Nixon,Carp,4,968.263.6687,186.6
Vietnam,New Jersey,Cardenas and Sons,Cod,4,(382)880-6410,36.7
Indonesia,Vermont,Hammond PLC,Tilapia,3,(542)327-2823x8490,135.6
Indonesia,Nebraska,Pearson Inc,Snapper,3,384.303.3809x589,18.5
India,Illinois,Ross-Miller,Dungeness Crab,5,001-633-697-0033x75328,173.1
Indonesia,Illinois,Hebert-Vincent,Mud Crab,4,(678)380-6881,188.6
Thailand,Alaska,"Fleming, Stokes and Mitchell",Seabass,3,493-326-4229x9631,38.9
Vietnam,Mississippi,Chavez and Sons,King Crab,4,001-649-411-5474x901,103.1
Indonesia,Florida,Landry Inc,King Crab,5,(281)713-2930x38136,72.2
Vietnam,Georgia,Mueller Group,Tuna,4,5978245932,66.2
Indonesia,Oklahoma,Harris Ltd,Trout,4,6663413247,174.2
Thailand,Montana,Martinez-Ochoa,Rohu,5,001-954-875-7070x9099,45.7
Indonesia,West Virginia,Randall-Cruz,Snapper,5,906.758.2186,174.1
India,California,Blankenship-Ross,Tuna,4,(365)545-6649,84.5
India,Nebraska,"Lam, Morgan and Archer",Barramundi,5,492-993-9060x739,98.6
Vietnam,South Carolina,"Palmer, Wagner and Wells",Freshwater Prawn,4,888-665-9965,168.8
Indonesia,Alaska,"Williams, Shannon and James",Salmon,3,895.650.6825x730,23.3
India,Minnesota,"Bauer, Lee and Johnston",Rohu,5,(206)814-1687x86398,10.6
Bangladesh,New Hampshire,Castillo PLC,Whiteleg Shrimp,3,704-786-2185,43.7
India,New Hampshire,Johnson-Fitzgerald,Tilapia,5,001-988-889-9934x870,124.7
Vietnam,Arkansas,Lee Ltd,Vannamei,4,001-701-885-1500,128.4
India,Kansas,Ruiz-Thomas,Salmon,5,001-685-206-0948x0371,86.4
Vietnam,Wyoming,Howard LLC,Tuna,3,960-378-3237x491,67.9
Indonesia,Ohio,Turner LLC,Tilapia,3,498.778.9906x99902,55.0
Indonesia,Rhode Island,Myers Inc,Banana Prawn,3,+1-698-662-1245x4407,168.9
Thailand,Alaska,Duran-Edwards,King Crab,4,+1-725-449-1078x89608,163.2
India,Oregon,"King, Owens and Cole",Banana Prawn,3,+1-464-688-4161x28094,51.2
Thailand,Washington,Lewis Group,Milkfish,5,001-540-610-8796x6967,175.4
Bangladesh,Nebraska,Thompson Group,Trout,4,8044332400,130.6
Thailand,Texas,Gordon Inc,King Prawn,3,+1-809-359-6707x21163,101.7
Thailand,Montana,Green and Sons,Cod,5,593.954.3929,90.4
Bangladesh,Ohio,Rosario LLC,Catfish,5,478-949-6287x1668,135.9
India,Maryland,"Beasley, Garcia and Hart",Freshwater Prawn,5,379.896.6244x7758,145.9
Thailand,Vermont,Glenn-Hawkins,Banana Prawn,4,924.346.8420x98841,3.4
Bangladesh,South Dakota,"Meyers, Hall and Miller",Cod,4,674.260.2060x2955,176.9
Indonesia,California,"Fuentes, Gonzalez and Olson",Cod,3,7825243912,29.8
India,New Jersey,Grant Inc,Trout,5,346-500-8675,126.1
Indonesia,Mississippi,Steele Group,Snow Crab,3,906-759-6812x99171,87.1
Indonesia,North Carolina,Padilla LLC,Carp,4,(634)507-8566x98712,152.7
India,Maine,Faulkner-Buchanan,King Prawn,5,(215)789-2954x387,1.8
Indonesia,Minnesota,Miller-Alvarado,Freshwater Prawn,5,(362)335-9972x15749,141.4
India,Idaho,Jordan-Lara,Black Tiger Shrimp,3,001-936-516-5627,66.7
Indonesia,Nevada,"Gonzales, Larson and Turner",Snapper,5,4785146912,158.6
Thailand,Hawaii,"Valenzuela, Yates and Anderson",Snapper,5,579-524-2621x492,15.0
Indonesia,New Hampshire,Alexander-Dickerson,Rohu,4,001-971-978-2718,148.8
Thailand,Illinois,Wang-Roberts,Mud Crab,4,734.635.4514,128.9
India,Pennsylvania,"Rodriguez, Dominguez and Jones",Tuna,3,4612931179,163.8
Vietnam,South Carolina,"Kelly, Eaton and Fields",Soft Shell Crab,5,001-702-738-1217x7664,139.6
Thailand,Montana,Lowe-Foster,Milkfish,5,001-301-998-9114x619,195.2
Indonesia,New Jersey,Lee Ltd,Mud Crab,3,(693)585-6642,59.1
India,Idaho,Owens-Jenkins,Rohu,4,+1-232-734-4341x799,91.2
Vietnam,Mississippi,"Mayer, Walls and Donaldson",Cod,3,+1-300-788-2712x48088,69.3
India,Vermont,Walsh-James,Freshwater Prawn,4,955.451.6600,132.3
Thailand,Wisconsin,Molina PLC,Tiger Prawn,5,773-803-9305x82169,138.6
Thailand,Alaska,"Hamilton, Johnson and Mason",Blue Swimmer Crab,5,3409675166,87.0
Thailand,Connecticut,Hamilton Ltd,Tilapia,4,001-850-346-7403x27578,158.9
Indonesia,Rhode Island,"Johnson, Phillips and Diaz",King Crab,3,259.581.1444x6730,191.8
Indonesia,Indiana,Vasquez-Reyes,Snow Crab,4,001-362-833-1031x39635,133.1
India,Indiana,Jones-Mcdaniel,Blue Swimmer Crab,4,229.479.8277,16.2
India,Ohio,Mullen-Walker,Carp,5,(629)232-8290,56.6
Vietnam,Louisiana,French-Petersen,Milkfish,4,+1-758-970-3215x5993,42.5
Vietnam,Ohio,"Perez, Bates and Edwards",King Prawn,4,001-886-577-8710x94922,43.2
India,South Carolina,"Huang, Mata and Schmidt",Cod,3,001-729-794-5072x97118,164.3
India,Nevada,Wagner Inc,Trout,3,981-618-6903,133.4
Bangladesh,South Carolina,Stewart Ltd,Barramundi,5,+1-472-773-6277x62526,172.8
Thailand,Arkansas,"Harris, Cameron and Berry",Blue Swimmer Crab,5,001-635-460-7397x4068,47.3
Indonesia,Kentucky,Murray Group,King Prawn,4,+1-666-819-7258,97.4
Bangladesh,South Dakota,"Roberts, Morris and Hernandez",Rohu,3,523-237-4717x16099,172.8
Bangladesh,Mississippi,Powell Group,King Crab,5,001-670-707-8286x93320,118.0
Indonesia,New York,West-Murphy,Carp,4,874.735.2331,180.8
Thailand,Kansas,Lucas Inc,King Prawn,5,+1-377-276-9004x33949,155.9
Vietnam,Alabama,Hernandez Ltd,Whiteleg Shrimp,5,(531)661-8842,59.2
India,Idaho,Bradley-Moran,Catfish,4,001-568-289-7335x510,169.5
India,Arizona,Hurley Inc,Milkfish,3,731.911.6341x3347,164.6
Thailand,New Hampshire,Burke-Benton,Whiteleg Shrimp,5,748.460.8042x4530,192.9
Vietnam,New Hampshire,Lamb-Lee,Barramundi,3,001-604-436-0131x6457,198.6
Bangladesh,Ohio,Powers-Johnson,Grouper,4,+1-382-702-7632x8147,16.6
Thailand,North Dakota,Becker Ltd,Soft Shell Crab,5,(564)982-5914x51048,157.5
Vietnam,Nevada,"Nielsen, Gonzales and Jones",Freshwater Prawn,4,918.237.3709x74297,175.3
India,Colorado,Hall-Ruiz,Tilapia,3,366-827-4946x363,8.9
India,Wyoming,Patterson Inc,Vannamei,4,229-358-2744x01061,96.7
India,North Dakota,Taylor and Sons,Barramundi,3,001-235-973-2914x94645,137.7
Indonesia,Mississippi,Rivera-Lee,Tiger Prawn,4,(994)388-6942x8911,82.5
Vietnam,Alaska,Shepard-Wolfe,Black Tiger Shrimp,3,001-981-967-8920,191.8
Thailand,New Mexico,Garcia-Johnson,Catfish,3,001-698-791-6966x357,107.6
Vietnam,New Hampshire,Kane-Washington,Grouper,4,001-788-614-9052,73.7
Vietnam,North Dakota,Mejia-Nelson,Tilapia,5,001-862-248-4489x3514,22.0
Vietnam,South Dakota,Rodriguez PLC,Blue Swimmer Crab,4,(605)969-7266,143.7
Bangladesh,South Carolina,Stevenson Group,Black Tiger Shrimp,3,708.624.6440x32114,124.8
Vietnam,Virginia,Boyd PLC,Tilapia,4,328-506-1226,11.3
India,Missouri,"Woods, Novak and Morris",Pangasius,4,(394)915-0770,143.4
Vietnam,Virginia,Ramirez Inc,Dungeness Crab,5,662-514-8747x6544,183.4
Bangladesh,Ohio,Hess-Sanders,Barramundi,5,+1-393-442-4185x58588,114.3
Bangladesh,Kansas,Jones Group,Cod,4,001-388-213-6841,82.7
Thailand,Georgia,Mcclain Group,Dungeness Crab,4,287-542-0015x8017,141.7
Thailand,North Dakota,Gonzales and Sons,Seabass,5,270.703.7498,170.1
Thailand,Virginia,Chavez-Tyler,Tuna,5,+1-759-724-1263x9090,64.6
Bangladesh,Georgia,Barber-Glass,Cod,3,(927)480-8393x98401,18.5
