Species,Age_Days,Water_Temp,DO,Feed_Type,Protein,Feed_Quantity
Barramundi,67,30.5,7.5,Pellet,32,12.32
Tuna,74,22.4,4.2,Sinking,40,20.88
Milkfish,65,22.5,5.7,Floating,34,42.43
Blue Swimmer Crab,99,25.7,7.8,Sinking,42,22.7
Salmon,135,24.1,7.9,Pellet,43,26.81
Rohu,129,30.2,5.8,Floating,33,36.47
Freshwater Prawn,58,28.9,5.0,Floating,31,29.91
Freshwater Prawn,64,26.2,6.8,Floating,38,34.56
Salmon,25,26.7,6.5,Sinking,34,20.24
Carp,106,27.0,5.4,Pellet,29,16.8
Vannamei,32,28.2,7.5,Sinking,34,27.55
Tuna,121,23.3,5.9,Floating,38,9.94
Tilapia,53,21.9,5.4,Pellet,38,28.47
Carp,95,22.4,6.9,Pellet,41,48.29
Vannamei,143,25.5,7.0,Sinking,42,16.08
Catfish,137,22.8,5.2,Sinking,32,31.13
Rohu,132,22.5,6.9,Floating,28,21.68
Tiger Prawn,115,20.8,5.6,Sinking,38,42.22
Tuna,88,27.6,6.1,Pellet,45,22.29
Black Tiger Shrimp,77,31.0,6.0,Floating,42,38.34
Mud Crab,88,31.7,4.3,Pellet,29,47.56
Blue Swimmer Crab,149,26.8,4.4,Sinking,43,15.55
Black Tiger Shrimp,97,22.7,4.8,Sinking,34,3.36
Trout,22,21.6,4.8,Floating,39,49.52
Carp,110,31.8,4.8,Pellet,36,44.99
Vannamei,85,20.6,4.6,Pellet,28,23.14
Salmon,28,22.8,5.3,Pellet,41,28.63
Mud Crab,78,22.8,7.3,Pellet,38,30.99
Snow Crab,10,23.5,5.0,Floating,33,32.89
Tilapia,26,25.9,7.0,Sinking,32,41.67
Snapper,98,29.9,5.1,Sinking,31,11.42
Pangasius,116,25.4,7.8,Floating,29,2.82
King Crab,20,26.3,4.6,Sinking,36,16.84
Cod,37,24.4,7.5,Pellet,40,16.39
King Crab,86,29.0,6.7,Floating,42,34.64
Blue Swimmer Crab,143,21.2,7.1,Floating,44,43.25
King Crab,78,21.2,6.2,Floating,38,44.52
Soft Shell Crab,108,31.1,5.4,Sinking,35,44.83
Salmon,46,27.7,6.8,Floating,40,48.94
Catfish,139,26.1,7.5,Sinking,40,46.45
Dungeness Crab,124,28.7,4.7,Sinking,42,10.39
Tilapia,63,24.1,7.6,Pellet,28,46.5
Black Tiger Shrimp,75,20.6,5.3,Pellet,45,20.35
King Crab,27,28.5,6.8,Sinking,45,40.68
Snow Crab,23,30.6,7.5,Sinking,40,45.85
Soft Shell Crab,96,27.7,4.5,Pellet,35,23.63
Tuna,103,22.5,5.8,Floating,38,35.59
Seabass,146,27.8,5.8,Floating,42,19.4
Whiteleg Shrimp,129,26.8,4.4,Sinking,43,35.83
Mud Crab,95,26.6,4.5,Pellet,36,29.12
Milkfish,114,25.9,5.9,Floating,44,26.29
Grouper,140,30.8,5.5,Floating,35,24.81
Vannamei,133,23.1,5.9,Pellet,31,23.62
Snow Crab,109,29.1,7.2,Pellet,45,28.54
Carp,50,30.0,5.3,Floating,34,19.3
Rohu,17,31.0,5.0,Pellet,37,3.46
Mud Crab,15,20.8,4.2,Floating,37,27.77
Banana Prawn,61,23.5,4.3,Floating,30,20.18
King Prawn,143,20.2,7.4,Floating,34,31.51
Snow Crab,91,21.6,5.9,Floating,33,47.33
Black Tiger Shrimp,80,22.8,5.5,Floating,40,45.41
Milkfish,48,20.9,4.6,Sinking,37,18.33
Tuna,35,25.8,5.1,Sinking,45,47.81
Snapper,37,25.7,5.3,Pellet,44,28.49
Dungeness Crab,141,26.8,6.7,Sinking,35,14.17
Banana Prawn,84,30.4,6.6,Floating,32,31.18
Barramundi,136,29.6,5.5,Pellet,30,7.08
Carp,79,22.5,7.8,Pellet,36,41.91
Cod,54,24.6,6.6,Sinking,28,36.05
Barramundi,83,30.8,6.7,Floating,31,2.71
Catfish,84,22.4,7.9,Floating,37,35.28
Grouper,134,28.1,4.9,Floating,32,26.59
Carp,46,24.4,6.9,Sinking,40,16.57
Pangasius,65,25.4,5.4,Sinking,34,37.55
Carp,56,21.8,7.7,Pellet,36,27.35
Black Tiger Shrimp,29,24.8,7.2,Floating,38,28.25
Snow Crab,71,27.0,6.4,Pellet,40,33.19
Freshwater Prawn,50,30.0,7.5,Floating,36,18.14
Cod,38,22.6,4.3,Floating,41,31.89
Seabass,26,22.9,4.5,Pellet,44,2.78
Blue Swimmer Crab,50,29.2,5.4,Floating,44,8.94
Seabass,108,27.8,4.5,Sinking,45,11.44
Snapper,66,28.2,5.4,Floating,32,42.82
Tuna,64,20.2,7.0,Sinking,41,40.89
Snow Crab,134,29.9,5.5,Sinking,43,40.4
Trout,48,27.8,7.1,Pellet,29,46.0
Trout,32,24.2,5.0,Sinking,36,17.44
Whiteleg Shrimp,42,22.7,7.9,Sinking,33,8.96
Seabass,137,27.8,5.0,Sinking,28,9.72
Tilapia,16,22.6,4.1,Floating,38,37.28
Soft Shell Crab,135,20.3,5.2,Pellet,44,44.84
Vannamei,95,21.7,7.6,Pellet,37,13.91
Grouper,38,31.4,4.3,Pellet,45,20.53
Salmon,79,26.8,5.9,Sinking,31,24.0
Salmon,121,20.6,6.9,Floating,41,28.93
Pangasius,14,27.8,7.6,Sinking,37,13.92
Snapper,149,23.4,4.4,Sinking,35,4.57
Freshwater Prawn,90,31.4,6.0,Floating,29,42.13
Whiteleg Shrimp,78,31.7,6.3,Floating,38,23.14
Grouper,104,27.8,4.5,Floating,44,23.09
Cod,127,21.0,6.5,Pellet,29,22.84
Tuna,140,30.8,6.9,Sinking,36,44.93
King Crab,52,20.6,7.0,Sinking,34,15.09
Salmon,74,25.9,7.2,Floating,36,11.68
Tuna,136,21.0,6.0,Floating,41,38.19
Pangasius,49,26.6,5.7,Floating,42,10.45
Salmon,38,32.0,4.1,Floating,31,25.47
King Crab,15,30.4,4.6,Floating,29,38.98
King Crab,15,21.4,5.9,Pellet,28,15.43
Barramundi,107,25.1,4.5,Sinking,41,48.87
Black Tiger Shrimp,142,24.5,5.3,Floating,32,42.07
Trout,85,22.4,6.0,Floating,36,13.39
Freshwater Prawn,117,24.1,5.4,Floating,39,18.65
Cod,25,28.2,7.1,Floating,45,42.99
Pangasius,129,24.9,4.1,Sinking,35,46.72
Catfish,16,29.5,7.5,Pellet,32,13.77
Catfish,150,20.2,7.8,Pellet,31,36.04
Freshwater Prawn,63,20.5,5.3,Pellet,41,20.88
Tilapia,35,27.6,6.1,Pellet,40,49.36
Milkfish,120,22.9,7.2,Pellet,44,9.0
Catfish,72,29.3,4.2,Sinking,36,17.66
Pangasius,137,25.6,7.3,Sinking,37,17.59
Salmon,126,24.4,5.9,Pellet,41,37.95
Snapper,141,24.1,6.6,Floating,40,44.56
Freshwater Prawn,44,26.3,4.5,Floating,45,30.05
Snapper,107,25.4,7.4,Sinking,38,26.37
Trout,15,26.7,6.0,Sinking,41,16.61
Dungeness Crab,127,24.7,6.1,Floating,29,43.5
Pangasius,95,22.9,4.5,Pellet,37,6.34
Rohu,72,30.5,4.2,Floating,41,5.97
Dungeness Crab,146,23.6,7.4,Floating,45,12.49
Trout,148,23.6,6.0,Pellet,37,30.46
Tuna,122,22.3,7.1,Floating,33,8.88
Pangasius,24,27.1,6.1,Sinking,36,6.88
Grouper,143,30.5,4.5,Pellet,45,37.11
King Prawn,130,23.5,5.3,Floating,30,31.57
Snow Crab,74,24.3,5.6,Pellet,40,5.95
Mud Crab,40,31.2,5.3,Sinking,33,49.26
Seabass,133,23.3,7.9,Pellet,36,18.26
Tuna,130,24.0,4.2,Floating,37,30.84
Catfish,131,25.5,4.8,Sinking,45,15.96
Snow Crab,80,22.8,7.1,Pellet,28,16.3
Banana Prawn,99,28.9,4.4,Floating,39,36.0
Rohu,142,30.3,7.1,Floating,30,32.66
Snapper,110,27.7,6.4,Sinking,38,39.31
Catfish,33,30.8,6.1,Floating,31,24.68
Soft Shell Crab,24,25.6,6.1,Floating,29,2.96
Cod,135,31.7,7.4,Pellet,34,15.27
King Prawn,19,23.9,6.9,Pellet,34,19.08
Catfish,13,27.3,7.7,Sinking,37,1.05
Cod,80,30.8,5.2,Sinking,32,49.84
Pangasius,108,20.6,6.3,Floating,33,26.08
Tilapia,20,23.6,6.4,Sinking,42,36.08
Soft Shell Crab,135,23.6,7.4,Sinking,29,46.71
Rohu,146,31.9,5.7,Floating,33,6.45
Rohu,41,29.5,4.9,Sinking,30,16.05
Vannamei,126,31.6,5.0,Sinking,29,13.49
Tiger Prawn,60,27.5,4.7,Sinking,43,26.02
Rohu,88,26.2,5.6,Floating,28,1.97
Grouper,78,27.4,6.1,Sinking,35,32.63
Soft Shell Crab,126,26.5,6.7,Pellet,30,40.56
Snow Crab,23,29.0,7.6,Floating,44,24.15
Milkfish,59,28.5,7.0,Pellet,28,29.7
Snapper,129,23.9,5.9,Sinking,38,16.87
Dungeness Crab,12,24.0,6.4,Floating,40,38.97
Cod,139,21.5,5.1,Floating,43,21.18
Vannamei,92,26.9,7.4,Pellet,39,7.94
Vannamei,48,29.0,5.0,Floating,30,46.9
Snow Crab,46,24.0,4.2,Sinking,45,39.89
Rohu,107,22.9,6.4,Sinking,42,10.2
Black Tiger Shrimp,83,23.5,8.0,Sinking,40,16.69
Vannamei,136,27.2,4.4,Pellet,34,4.57
Rohu,136,25.9,7.9,Sinking,29,30.37
Catfish,30,29.5,6.1,Sinking,37,43.34
King Crab,99,31.7,5.4,Sinking,45,38.44
Whiteleg Shrimp,143,29.2,6.0,Floating,39,32.21
Milkfish,89,29.4,4.6,Floating,40,10.18
Mud Crab,107,20.5,4.8,Sinking,29,37.98
Trout,38,25.6,6.5,Pellet,34,47.77
Blue Swimmer Crab,120,22.1,6.8,Floating,44,29.37
Snow Crab,48,27.9,5.8,Floating,37,25.04
King Prawn,89,22.0,7.9,Sinking,38,35.44
Freshwater Prawn,50,29.0,5.2,Floating,35,11.21
King Crab,113,23.5,5.0,Pellet,38,5.75
Banana Prawn,100,30.2,6.0,Floating,40,29.05
Salmon,33,32.0,4.7,Floating,30,19.01
Trout,27,26.3,6.4,Pellet,41,35.33
Snow Crab,74,24.9,5.0,Floating,36,26.77
Dungeness Crab,93,28.3,6.2,Pellet,30,23.18
King Prawn,60,28.3,6.9,Floating,41,16.15
King Prawn,46,25.9,4.2,Floating,40,20.14
Whiteleg Shrimp,119,30.6,7.8,Floating,44,8.17
Black Tiger Shrimp,51,31.5,7.0,Pellet,41,29.36
Carp,78,21.0,4.7,Sinking,45,18.07
Blue Swimmer Crab,37,29.0,7.3,Pellet,31,18.36
Banana Prawn,51,22.4,6.1,Pellet,39,36.56
Seabass,13,27.3,4.4,Floating,31,48.19
Trout,57,25.2,7.6,Floating,30,28.18
Pangasius,38,30.1,6.3,Floating,31,9.22
Milkfish,31,23.1,7.5,Sinking,28,45.68
Barramundi,23,27.4,6.8,Floating,29,32.34
Salmon,21,20.8,7.7,Sinking,43,48.93
Vannamei,88,26.6,5.0,Floating,36,10.01
Milkfish,46,22.0,6.3,Pellet,35,39.58
Vannamei,63,25.9,7.2,Sinking,36,49.08
Whiteleg Shrimp,13,25.3,5.0,Sinking,42,38.73
Cod,38,22.2,5.1,Sinking,38,30.13
Banana Prawn,104,20.9,7.1,Pellet,43,14.2
Pangasius,10,30.0,4.1,Floating,40,36.08
Snow Crab,41,25.5,6.1,Sinking,31,42.27
Rohu,117,21.9,7.9,Floating,30,19.23
Pangasius,132,31.0,6.1,Sinking,30,19.59
Black Tiger Shrimp,70,23.1,5.0,Floating,31,23.34
Tilapia,128,31.6,4.8,Pellet,43,1.73
Rohu,97,22.3,6.2,Sinking,38,25.58
Black Tiger Shrimp,62,21.0,6.6,Floating,30,40.33
Dungeness Crab,145,27.2,6.9,Floating,30,24.02
King Prawn,72,22.5,5.9,Floating,33,14.16
Tilapia,42,31.0,5.4,Pellet,35,16.42
Banana Prawn,51,29.6,8.0,Sinking,34,26.13
King Prawn,12,23.9,5.0,Floating,33,26.82
Tuna,50,29.7,5.8,Pellet,35,39.29
Rohu,64,23.0,5.0,Sinking,35,43.25
Seabass,10,26.0,7.7,Floating,42,1.0
Black Tiger Shrimp,140,29.2,4.9,Sinking,32,24.72
Soft Shell Crab,39,30.5,7.9,Pellet,30,39.95
Whiteleg Shrimp,143,26.2,7.5,Pellet,29,11.08
King Prawn,82,21.6,5.7,Sinking,36,35.9
Cod,71,22.4,5.5,Pellet,39,25.64
Rohu,127,23.2,5.6,Sinking,41,12.63
Barramundi,65,26.2,5.0,Floating,43,28.89
King Crab,12,24.3,7.6,Sinking,30,39.82
Milkfish,144,24.7,6.3,Floating,36,43.21
King Crab,40,25.7,6.9,Pellet,35,45.44
Milkfish,33,31.5,6.1,Sinking,30,15.07
Tuna,27,22.4,4.1,Pellet,30,14.07
Trout,47,25.9,6.0,Pellet,34,36.73
Dungeness Crab,70,28.0,6.6,Floating,32,44.49
Cod,119,28.8,6.1,Pellet,38,36.97
Milkfish,53,23.5,6.1,Sinking,29,42.22
Salmon,86,28.2,7.7,Sinking,43,1.01
Cod,57,22.8,4.2,Floating,40,47.66
Freshwater Prawn,15,24.7,7.6,Pellet,38,10.5
Barramundi,117,29.0,4.7,Sinking,30,16.15
Vannamei,147,20.5,4.8,Sinking,34,41.01
Mud Crab,58,23.2,4.6,Floating,31,8.85
Catfish,53,28.3,4.5,Pellet,37,15.98
Salmon,16,30.0,7.3,Sinking,36,12.47
Snow Crab,134,25.5,6.8,Floating,43,17.82
Tilapia,149,27.0,6.4,Sinking,37,5.69
Mud Crab,56,30.6,7.1,Sinking,43,24.83
Milkfish,18,30.8,6.5,Sinking,40,12.2
Catfish,128,22.5,7.7,Pellet,45,26.36
Barramundi,84,27.8,7.8,Pellet,45,29.0
Dungeness Crab,14,20.0,6.2,Sinking,44,5.61
Mud Crab,137,21.6,6.9,Pellet,43,15.8
Tilapia,108,23.4,5.6,Sinking,28,43.71
King Prawn,117,31.6,7.6,Pellet,39,18.94
Grouper,95,25.5,4.5,Sinking,29,42.45
Carp,22,24.1,5.5,Sinking,38,49.4
Vannamei,69,21.7,4.6,Sinking,31,22.98
Pangasius,66,23.5,4.8,Sinking,28,31.96
Snapper,76,20.0,7.6,Floating,38,3.48
Whiteleg Shrimp,111,28.3,6.6,Sinking,32,29.04
Vannamei,55,23.8,6.9,Sinking,43,6.21
Blue Swimmer Crab,94,21.8,6.6,Sinking,37,46.19
Salmon,125,26.2,7.5,Sinking,30,44.24
Black Tiger Shrimp,119,30.9,4.0,Pellet,40,18.69
Pangasius,40,21.2,4.5,Floating,43,7.23
Rohu,66,31.1,4.8,Floating,41,23.82
Vannamei,56,31.2,6.9,Floating,41,40.16
Pangasius,140,20.4,4.6,Sinking,41,14.52
Rohu,89,29.3,4.4,Floating,41,33.07
Seabass,123,31.3,7.7,Sinking,32,21.54
Carp,63,24.9,4.9,Pellet,43,30.39
Tiger Prawn,104,22.3,5.4,Pellet,32,40.36
Mud Crab,14,26.2,6.8,Sinking,30,48.09
Black Tiger Shrimp,31,31.3,7.0,Sinking,36,17.91
Grouper,24,20.2,5.6,Floating,29,36.3
Whiteleg Shrimp,12,23.6,4.8,Floating,40,47.44
King Prawn,39,24.9,7.4,Floating,28,27.44
Trout,36,22.3,4.8,Sinking,33,43.74
Banana Prawn,113,25.5,5.5,Sinking,30,2.59
Blue Swimmer Crab,47,31.7,5.7,Pellet,37,1.99
Seabass,76,30.1,4.3,Sinking,29,39.88
Blue Swimmer Crab,91,30.1,4.8,Pellet,30,16.98
Tilapia,139,27.7,4.2,Pellet,35,3.33
Whiteleg Shrimp,64,28.3,6.7,Floating,33,10.0
Milkfish,82,27.6,4.1,Sinking,31,45.86
Freshwater Prawn,89,22.4,4.8,Floating,35,32.98
Black Tiger Shrimp,28,28.6,4.4,Pellet,36,14.31
Rohu,67,29.3,7.7,Pellet,34,25.5
King Prawn,11,28.1,7.3,Pellet,29,25.78
Pangasius,44,24.1,6.0,Floating,45,30.84
Soft Shell Crab,75,27.0,6.2,Floating,37,2.54
Blue Swimmer Crab,36,21.1,4.9,Pellet,43,48.87
Blue Swimmer Crab,139,23.1,6.0,Floating,28,39.83
Whiteleg Shrimp,52,30.2,5.5,Sinking,41,15.37
Carp,125,26.9,7.2,Sinking,44,4.17
Barramundi,109,22.3,5.2,Pellet,38,48.41
Seabass,74,27.6,4.8,Sinking,37,6.17
Snapper,89,22.4,5.7,Pellet,42,20.63
Freshwater Prawn,118,30.1,4.2,Floating,32,33.25
Salmon,108,25.3,6.0,Pellet,29,43.08
Cod,125,22.2,4.1,Pellet,29,13.32
Snapper,69,21.0,4.6,Pellet,31,36.86
Cod,132,21.9,4.8,Sinking,45,26.39
King Prawn,143,23.9,7.3,Sinking,39,23.51
Snapper,130,30.7,6.6,Floating,43,14.46
Trout,83,26.3,6.4,Pellet,35,1.97
Tiger Prawn,131,29.1,4.1,Floating,37,48.82
Rohu,95,25.4,7.8,Sinking,38,47.52
Grouper,54,31.8,7.3,Floating,40,42.39
Vannamei,22,28.8,7.5,Pellet,29,16.9
Banana Prawn,71,28.4,7.8,Floating,34,47.78
Grouper,128,22.7,6.4,Sinking,41,17.81
Blue Swimmer Crab,10,31.2,4.9,Pellet,43,3.11
Tuna,145,22.0,5.3,Floating,42,16.18
Catfish,124,24.4,7.3,Pellet,28,28.08
Milkfish,56,23.4,6.0,Sinking,33,6.87
Freshwater Prawn,112,24.4,6.0,Floating,45,12.48
Freshwater Prawn,131,29.9,6.8,Sinking,42,24.74
Tuna,66,29.8,4.9,Sinking,38,2.85
Cod,130,27.9,7.2,Floating,35,3.77
Mud Crab,48,29.1,5.4,Pellet,30,23.41
Black Tiger Shrimp,125,28.6,5.6,Floating,39,42.96
Black Tiger Shrimp,11,23.2,7.0,Floating,37,20.4
Pangasius,138,31.4,4.0,Floating,39,31.36
King Crab,31,28.2,5.2,Floating,42,7.24
King Crab,54,31.1,4.1,Sinking,44,38.67
Banana Prawn,39,22.2,5.3,Sinking,38,32.16
Grouper,118,25.4,4.8,Pellet,40,33.44
Grouper,53,23.7,4.9,Sinking,36,6.57
King Prawn,89,28.8,7.9,Floating,45,48.11
Blue Swimmer Crab,120,24.4,5.8,Sinking,31,3.59
Cod,48,27.8,4.4,Pellet,28,10.69
Carp,116,22.9,6.7,Sinking,37,15.07
Catfish,30,24.3,6.4,Sinking,42,21.2
Blue Swimmer Crab,143,20.2,6.4,Floating,42,36.77
Dungeness Crab,42,24.3,5.7,Floating,30,42.15
Tilapia,90,21.4,6.8,Pellet,36,29.8
Tuna,62,27.7,4.3,Pellet,39,38.2
Soft Shell Crab,115,22.9,6.5,Floating,36,42.89
Black Tiger Shrimp,21,25.9,7.1,Floating,44,6.21
Tuna,104,24.0,7.9,Pellet,39,28.96
Milkfish,50,30.8,4.2,Pellet,29,31.03
King Crab,69,30.3,4.7,Sinking,30,12.46
Dungeness Crab,51,22.1,5.3,Floating,30,7.96
Trout,65,26.4,5.3,Sinking,36,18.38
Salmon,24,22.2,5.7,Pellet,45,25.14
Tilapia,39,30.5,6.5,Pellet,34,48.04
Tuna,119,31.1,7.7,Sinking,28,19.25
Tilapia,45,21.9,4.3,Floating,32,4.97
King Crab,96,30.3,4.4,Floating,43,2.17
Tuna,21,31.3,5.3,Floating,31,27.8
Seabass,49,26.5,5.1,Sinking,30,28.25
Pangasius,146,21.0,4.2,Sinking,44,9.87
Salmon,22,30.8,7.7,Sinking,31,7.59
King Prawn,147,30.4,5.3,Sinking,31,5.42
Catfish,13,30.4,5.0,Sinking,32,24.28
Trout,147,28.5,7.5,Floating,45,18.57
Grouper,34,20.4,6.1,Pellet,39,21.83
King Crab,147,29.3,5.0,Floating,39,6.85
Tiger Prawn,76,22.1,6.5,Floating,32,17.57
Blue Swimmer Crab,27,21.7,6.6,Pellet,41,48.08
Trout,86,23.8,6.3,Pellet,44,48.14
Blue Swimmer Crab,123,28.0,5.4,Pellet,32,22.29
Vannamei,46,26.2,7.3,Sinking,43,3.42
Carp,148,30.8,7.0,Pellet,42,7.24
Trout,16,21.9,4.9,Pellet,34,11.93
Milkfish,54,31.1,5.2,Sinking,44,9.92
Catfish,20,24.2,7.9,Sinking,40,10.88
Dungeness Crab,91,30.4,5.1,Floating,36,48.34
Grouper,51,23.0,6.6,Sinking,42,44.7
Trout,63,30.8,4.0,Floating,31,10.16
Snapper,143,31.9,6.9,Floating,44,42.51
Black Tiger Shrimp,107,21.1,4.9,Sinking,36,18.94
Black Tiger Shrimp,140,21.7,4.5,Sinking,36,49.29
Soft Shell Crab,131,29.1,5.8,Floating,37,29.26
Snow Crab,98,31.1,5.9,Pellet,35,17.95
Blue Swimmer Crab,116,26.7,4.6,Pellet,41,21.97
Trout,78,24.0,6.6,Floating,38,33.35
Catfish,56,26.0,7.0,Floating,42,33.75
Cod,58,31.7,5.1,Sinking,29,13.18
Dungeness Crab,103,28.5,7.1,Sinking,45,20.6
Catfish,116,20.9,7.9,Sinking,36,14.57
Grouper,65,22.4,5.7,Pellet,45,33.31
Snow Crab,20,23.4,7.8,Pellet,28,48.82
Vannamei,125,22.9,7.3,Sinking,36,29.92
Trout,89,26.8,4.8,Floating,42,38.61
Catfish,15,22.0,6.3,Sinking,45,40.78
Grouper,35,20.8,7.7,Sinking,41,24.15
King Crab,46,24.9,7.8,Floating,30,37.4
Catfish,72,25.0,6.0,Sinking,42,6.59
Cod,81,30.3,5.3,Floating,32,17.26
Whiteleg Shrimp,25,26.1,6.8,Pellet,32,7.82
Salmon,65,30.6,4.2,Sinking,29,39.48
King Crab,114,26.4,7.8,Pellet,45,22.23
Pangasius,139,23.1,4.2,Pellet,43,3.0
Barramundi,92,26.8,7.6,Pellet,36,2.93
King Prawn,59,29.4,7.7,Pellet,29,18.41
Cod,66,23.2,6.5,Floating,41,18.59
Dungeness Crab,36,26.6,7.7,Sinking,32,27.28
Banana Prawn,37,26.5,7.6,Floating,34,42.15
Vannamei,109,31.5,6.9,Floating,39,41.92
Grouper,143,21.0,4.3,Floating,45,21.11
Rohu,73,22.7,8.0,Pellet,33,30.74
Carp,143,26.6,4.1,Sinking,40,4.84
Black Tiger Shrimp,82,26.9,7.3,Pellet,44,12.08
Tuna,123,30.4,7.8,Floating,29,36.21
Trout,25,23.6,4.9,Pellet,39,28.5
Cod,31,31.9,5.0,Pellet,29,45.39
Pangasius,35,20.1,7.7,Floating,41,11.12
Catfish,66,26.6,6.3,Pellet,36,34.11
Cod,25,28.9,5.4,Floating,39,11.03
Vannamei,73,30.9,4.1,Floating,40,18.83
Seabass,108,29.7,7.8,Floating,40,33.07
Black Tiger Shrimp,48,21.3,5.9,Sinking,42,3.12
Catfish,147,28.4,6.8,Pellet,37,16.73
Milkfish,39,25.9,6.3,Floating,41,48.16
Rohu,113,30.6,5.2,Pellet,32,36.09
Trout,104,20.2,7.7,Sinking,32,14.3
Soft Shell Crab,52,31.5,4.4,Pellet,28,1.25
Tuna,55,20.9,4.4,Pellet,40,34.42
Rohu,48,23.5,7.8,Floating,33,4.21
Mud Crab,128,27.3,4.5,Pellet,29,24.03
Tilapia,148,24.2,5.0,Pellet,45,36.62
Black Tiger Shrimp,95,22.8,5.7,Pellet,33,6.71
Grouper,56,21.7,6.8,Sinking,43,20.82
Rohu,130,22.7,7.9,Pellet,40,41.91
Rohu,55,27.2,7.5,Pellet,45,22.52
Vannamei,105,27.6,4.7,Floating,34,45.9
King Prawn,49,20.8,7.6,Pellet,34,2.69
Soft Shell Crab,88,30.3,5.1,Floating,40,42.32
Vannamei,38,22.5,6.4,Pellet,33,10.31
Carp,59,31.4,7.4,Floating,38,25.09
Soft Shell Crab,142,23.0,5.3,Pellet,31,37.34
Cod,80,20.3,7.9,Sinking,34,4.91
Seabass,38,28.4,7.8,Sinking,33,8.95
Carp,139,28.8,4.6,Pellet,41,33.8
Snapper,65,22.8,4.8,Sinking,42,49.85
Snapper,24,28.9,7.3,Sinking,40,18.55
Carp,115,20.0,7.0,Floating,45,22.44
Tiger Prawn,20,23.9,5.2,Pellet,33,13.98
Trout,34,21.5,5.3,Pellet,42,10.9
Vannamei,148,27.6,4.4,Pellet,32,26.8
Vannamei,10,24.3,7.3,Floating,28,25.09
Carp,82,25.4,6.3,Sinking,45,34.86
Tilapia,44,20.8,4.8,Sinking,33,26.67
Milkfish,71,30.4,4.7,Pellet,33,41.84
Catfish,25,20.5,6.2,Floating,39,16.05
Rohu,44,26.2,6.5,Pellet,28,26.41
Mud Crab,139,31.3,5.3,Floating,35,39.86
Tuna,105,26.3,7.2,Floating,32,44.08
Banana Prawn,87,30.8,6.7,Sinking,30,5.39
Blue Swimmer Crab,145,23.0,6.6,Pellet,36,24.4
Mud Crab,21,22.5,5.1,Sinking,31,28.82
Carp,69,21.3,8.0,Sinking,40,43.29
Black Tiger Shrimp,15,21.7,7.2,Sinking,34,33.65
Black Tiger Shrimp,56,21.6,6.1,Floating,39,30.48
Vannamei,114,28.9,4.0,Floating,44,10.4
Snapper,111,24.3,5.9,Sinking,35,7.09
Banana Prawn,109,25.0,6.5,Sinking,44,27.76
Tilapia,112,24.0,6.8,Floating,32,33.42
Milkfish,20,30.2,4.5,Sinking,45,44.25
Salmon,38,24.9,5.0,Floating,42,30.28
Tuna,18,21.9,5.8,Floating,38,9.5
Pangasius,121,26.8,4.3,Pellet,30,47.48
Catfish,148,23.9,5.6,Pellet,38,28.81
Snow Crab,85,26.4,7.9,Pellet,41,33.23
Catfish,74,26.6,5.1,Floating,44,47.99
Trout,113,31.3,4.8,Sinking,40,4.69
Snapper,131,24.9,4.9,Floating,37,34.65
Black Tiger Shrimp,130,21.3,5.9,Floating,33,42.84
Snow Crab,67,31.7,7.9,Pellet,41,23.08
Catfish,55,29.0,7.8,Sinking,31,1.17
Grouper,103,22.3,5.0,Sinking,40,21.33
Soft Shell Crab,97,23.2,4.7,Pellet,45,10.19
King Crab,68,25.3,5.9,Floating,37,9.92
Trout,150,24.2,7.1,Floating,36,32.68
Soft Shell Crab,41,31.5,8.0,Pellet,29,12.03
Trout,85,20.8,5.7,Pellet,32,35.22
Banana Prawn,71,28.9,7.8,Floating,37,44.75
Barramundi,99,28.6,7.7,Floating,38,22.58
Mud Crab,81,26.5,5.3,Floating,41,8.44
Tuna,105,20.5,5.3,Sinking,37,26.11
Black Tiger Shrimp,113,26.7,4.0,Sinking,45,22.2
Tilapia,129,30.8,7.6,Floating,36,3.97
Black Tiger Shrimp,144,22.6,4.7,Sinking,30,33.33
Catfish,19,21.6,7.5,Pellet,43,25.15
Vannamei,12,21.1,7.9,Pellet,29,33.24
Whiteleg Shrimp,52,26.8,7.4,Pellet,29,43.71
Snapper,60,27.0,4.2,Pellet,33,39.91
Barramundi,82,22.7,6.7,Floating,36,47.82
Blue Swimmer Crab,98,25.4,6.2,Floating,35,47.17
King Prawn,114,23.3,7.9,Floating,35,27.21
Vannamei,59,30.4,5.4,Floating,36,8.3
Seabass,53,23.3,7.2,Floating,33,9.92
Trout,55,30.5,7.1,Pellet,45,14.92
King Prawn,75,21.6,5.1,Sinking,39,14.18
Freshwater Prawn,43,23.5,7.3,Sinking,29,48.43
Barramundi,68,23.2,5.9,Floating,31,39.84
Cod,40,20.9,5.1,Pellet,35,33.52
Carp,117,30.6,4.6,Floating,33,1.4
Barramundi,71,24.8,6.5,Pellet,39,28.35
Vannamei,149,28.9,7.3,Sinking,35,21.95
Blue Swimmer Crab,127,25.8,7.5,Sinking,42,23.62
Cod,128,30.0,4.1,Pellet,38,26.21
King Prawn,122,30.4,7.3,Sinking,41,27.22
Vannamei,89,29.8,6.1,Floating,38,41.77
Milkfish,83,30.9,4.1,Sinking,36,3.72
Barramundi,47,27.1,5.5,Sinking,31,49.76
