Target_Country,Species,Required_Quantity,Quality_Grade,Price_Offered
USA,Dungeness Crab,15,C,340084.16
EU,Cod,13,B,110263.29
Japan,Whiteleg Shrimp,22,A,273496.1
USA,Tuna,10,B,394695.63
China,Dungeness Crab,31,B,53525.02
EU,Tilapia,49,A,263045.74
India,Pangasius,1,A,224774.18
China,Vannamei,40,C,477156.15
EU,Whiteleg Shrimp,31,C,455880.44
USA,Carp,38,A,198445.87
China,Barramundi,45,C,68280.21
India,Catfish,6,C,22733.36
EU,King Prawn,28,C,477202.75
USA,Blue Swimmer Crab,40,C,454861.51
EU,Barramundi,13,B,496487.53
China,Pangasius,7,B,117592.12
China,Trout,26,B,403168.91
India,Seabass,30,C,343810.15
China,Snow Crab,24,C,122573.56
Japan,Catfish,35,B,409101.0
India,Barramundi,28,A,304636.88
Japan,Tiger Prawn,44,A,16514.42
India,Black Tiger Shrimp,29,B,167984.36
EU,Catfish,12,C,191693.65
EU,King Prawn,48,C,431786.06
EU,King Crab,2,C,426252.44
India,Pangasius,42,B,142982.41
India,Grouper,15,C,476962.66
China,Salmon,49,C,447207.15
USA,Freshwater Prawn,22,B,165778.2
China,Mud Crab,7,A,198491.68
EU,Barramundi,50,B,191092.95
China,Snapper,24,C,378077.56
USA,Soft Shell Crab,20,B,455997.46
India,King Prawn,18,C,178905.94
USA,Snow Crab,50,B,179163.64
EU,Tilapia,2,A,307409.41
Japan,Rohu,2,A,250539.6
USA,Seabass,30,C,244753.37
EU,Mud Crab,24,A,491955.4
China,Mud Crab,48,B,17327.82
Japan,Barramundi,15,A,454394.64
EU,Snapper,41,B,90348.12
China,Carp,28,B,158859.05
Japan,Black Tiger Shrimp,1,B,360186.76
USA,Banana Prawn,35,B,464262.04
China,Dungeness Crab,28,A,388095.21
India,Seabass,49,A,361262.3
EU,Mud Crab,33,B,91460.21
EU,King Crab,46,B,140057.76
EU,Banana Prawn,37,B,197148.27
USA,Blue Swimmer Crab,13,C,332404.34
Japan,King Prawn,49,B,100896.11
China,Cod,49,A,80800.61
India,Rohu,32,B,378792.65
EU,Pangasius,18,C,22478.09
Japan,King Prawn,3,B,177045.59
Japan,King Prawn,20,C,259897.81
China,Salmon,40,A,425377.27
India,King Prawn,29,B,50660.36
Japan,Cod,37,B,470846.49
Japan,Cod,49,A,341334.72
India,Trout,5,B,389524.01
USA,Snow Crab,40,B,404251.95
EU,Grouper,23,B,482871.26
Japan,King Crab,11,A,376364.38
India,Trout,12,A,89103.67
Japan,Tiger Prawn,19,B,61305.92
EU,Dungeness Crab,14,B,28898.69
EU,Tuna,30,A,113835.41
USA,Snapper,10,A,312984.54
USA,Tuna,3,A,397319.51
Japan,Barramundi,13,C,19793.65
USA,Snow Crab,21,C,300557.74
India,Cod,37,C,368545.15
USA,Snapper,48,A,45057.01
China,Tilapia,47,C,228682.82
EU,Grouper,9,C,486509.55
India,Barramundi,17,B,489291.48
Japan,Banana Prawn,46,B,92167.61
Japan,Cod,17,C,90831.5
EU,Vannamei,20,C,366656.37
USA,Banana Prawn,48,A,202187.11
China,Freshwater Prawn,18,C,484734.29
India,Catfish,18,B,481360.73
Japan,Mud Crab,47,B,272629.42
India,Dungeness Crab,2,A,86893.63
USA,Snapper,14,B,450298.23
EU,Blue Swimmer Crab,48,B,178947.74
India,Tilapia,29,B,172038.93
Japan,Barramundi,37,A,178386.29
India,Cod,1,A,483359.73
USA,Trout,14,B,343178.53
India,Pangasius,4,B,16149.79
EU,Grouper,26,A,435441.69
Japan,Salmon,10,C,482571.78
Japan,Snow Crab,41,A,102983.03
EU,Seabass,7,A,236515.6
India,Catfish,23,C,386216.76
Japan,Whiteleg Shrimp,18,B,27823.21
India,Seabass,19,C,110464.83
China,Freshwater Prawn,20,C,299068.92
India,Rohu,39,B,249550.86
China,Tiger Prawn,20,C,489428.67
Japan,Black Tiger Shrimp,25,B,213016.04
China,Blue Swimmer Crab,33,A,471069.88
EU,King Prawn,35,B,334166.16
Japan,Pangasius,44,B,311989.01
China,Barramundi,14,B,277152.83
Japan,Milkfish,14,C,440759.8
China,Banana Prawn,29,C,272740.43
India,Trout,14,A,45847.68
EU,Vannamei,43,C,79031.1
China,Snow Crab,47,C,361170.02
USA,Blue Swimmer Crab,35,B,411016.43
China,Blue Swimmer Crab,41,A,42610.48
China,Freshwater Prawn,29,C,425637.34
EU,King Crab,29,B,418463.96
USA,King Prawn,8,B,14385.1
EU,Pangasius,35,A,277376.15
India,Trout,12,B,366866.01
USA,Snapper,33,B,325672.33
USA,Tiger Prawn,10,A,191549.83
EU,Dungeness Crab,9,A,416021.63
EU,Cod,12,B,144527.99
India,Carp,29,C,146066.16
India,Cod,21,A,188573.79
EU,Salmon,2,B,24935.05
EU,Milkfish,44,C,342568.98
India,Seabass,47,A,218662.34
Japan,Mud Crab,26,B,250984.18
EU,Barramundi,12,C,215989.22
Japan,Catfish,17,A,195164.66
USA,Whiteleg Shrimp,36,C,64310.99
India,Seabass,13,A,139662.09
China,Tilapia,37,B,328795.58
USA,Tilapia,50,A,488313.3
EU,Cod,39,A,137065.6
EU,Rohu,20,C,449028.74
EU,Carp,8,A,112107.27
India,Freshwater Prawn,47,A,259798.91
USA,Seabass,15,C,27959.18
Japan,Soft Shell Crab,49,B,312037.82
Japan,Cod,41,B,133958.95
USA,Mud Crab,47,B,314573.35
USA,Salmon,50,A,202656.68
USA,Milkfish,24,C,459469.92
India,Snapper,31,B,153660.44
India,Catfish,40,A,219350.57
Japan,Salmon,1,A,46385.16
USA,Tuna,18,A,12388.27
USA,Freshwater Prawn,2,B,242319.77
China,Catfish,33,C,234427.57
China,Blue Swimmer Crab,9,C,497383.47
EU,Seabass,35,B,409620.87
USA,Snow Crab,48,B,24937.06
China,Tuna,37,B,318963.5
USA,Seabass,38,C,35396.85
USA,Dungeness Crab,48,A,497771.65
USA,King Crab,31,A,422776.13
Japan,Milkfish,36,A,445782.92
EU,Carp,49,A,161917.09
EU,Tiger Prawn,27,C,271867.07
EU,Tuna,11,B,162615.1
USA,Dungeness Crab,48,C,481056.44
Japan,Trout,46,B,49115.82
China,King Crab,4,C,399498.09
India,King Prawn,18,C,108602.03
India,Seabass,30,B,273986.05
India,Rohu,4,C,146827.2
China,Freshwater Prawn,36,C,38905.16
India,Salmon,28,C,228984.02
USA,Tuna,12,C,183707.4
USA,Seabass,8,A,71298.14
USA,King Crab,8,B,18671.15
India,King Crab,38,A,85310.18
EU,Dungeness Crab,21,C,196732.17
EU,Snapper,35,C,127874.06
India,King Prawn,48,B,439811.6
USA,Dungeness Crab,47,B,95628.88
China,Mud Crab,6,A,294709.77
EU,Snapper,40,A,454960.57
India,Milkfish,35,C,225156.55
USA,Rohu,32,C,300410.83
EU,Carp,29,A,206958.59
India,Barramundi,18,A,192494.8
EU,Tilapia,29,B,26250.79
EU,Seabass,45,B,86811.19
USA,Dungeness Crab,24,B,106293.01
Japan,King Crab,35,A,133889.56
EU,Whiteleg Shrimp,23,A,170967.45
China,Carp,14,A,385751.17
China,Banana Prawn,16,A,125424.53
Japan,Snapper,20,A,216922.3
Japan,Vannamei,15,A,322965.73
India,Vannamei,20,C,205033.67
EU,Vannamei,27,C,351319.37
EU,King Prawn,24,A,287566.19
India,Black Tiger Shrimp,35,A,312804.06
USA,Snow Crab,36,C,374267.53
India,Tiger Prawn,27,C,174263.58
Japan,Black Tiger Shrimp,2,C,76352.56
EU,Barramundi,3,B,425096.29
Japan,Mud Crab,32,A,353975.79
EU,Dungeness Crab,41,C,442366.89
EU,Salmon,27,B,497760.43
China,King Crab,36,B,467813.78
China,Tilapia,38,B,186686.93
India,Trout,47,C,369720.78
EU,Carp,7,B,144702.87
China,Snapper,22,B,102671.26
China,Grouper,43,B,29895.11
Japan,Grouper,35,A,446976.74
China,Soft Shell Crab,24,C,253798.97
Japan,Mud Crab,42,C,313316.44
Japan,Trout,37,A,223020.65
India,Catfish,50,A,182876.55
China,Barramundi,46,B,256906.53
USA,Vannamei,45,B,225340.03
Japan,Dungeness Crab,13,B,100016.46
Japan,Soft Shell Crab,41,A,393195.72
USA,Snapper,6,B,330891.07
India,Pangasius,8,A,429686.46
India,Seabass,12,C,10957.23
China,Banana Prawn,35,C,406907.59
EU,Blue Swimmer Crab,14,C,361066.21
Japan,Black Tiger Shrimp,22,B,390745.01
India,Mud Crab,46,A,284917.46
USA,Blue Swimmer Crab,45,A,369964.5
India,Dungeness Crab,41,C,271025.63
Japan,Trout,45,C,397578.89
Japan,Trout,36,A,264366.26
EU,Snow Crab,47,C,75628.04
EU,Carp,14,C,160883.27
EU,Rohu,42,B,130333.44
EU,Soft Shell Crab,34,B,411062.23
Japan,Milkfish,13,C,47082.53
Japan,Trout,14,A,389491.52
China,Tuna,17,A,356019.16
Japan,Catfish,3,A,252283.94
China,Grouper,33,A,176456.54
Japan,Barramundi,19,B,284628.07
USA,Grouper,42,A,483115.28
Japan,King Prawn,46,A,134083.74
Japan,Seabass,42,C,95706.07
USA,Banana Prawn,1,B,57776.76
Japan,Blue Swimmer Crab,4,A,89512.41
EU,Dungeness Crab,19,A,456008.29
China,Tiger Prawn,15,B,28577.76
USA,Carp,3,A,426510.64
China,Tilapia,41,B,344243.51
EU,Pangasius,21,B,135208.98
USA,Dungeness Crab,43,A,456001.51
Japan,Barramundi,10,B,389653.92
China,Pangasius,14,A,484843.38
Japan,Carp,21,C,243798.17
China,Mud Crab,16,B,284485.2
India,Trout,31,A,73278.23
China,Seabass,41,A,217204.93
China,Grouper,15,B,182441.64
USA,Rohu,44,B,393555.9
India,Whiteleg Shrimp,28,A,353366.08
USA,Tuna,31,B,262340.16
Japan,Tuna,5,B,145543.62
India,Vannamei,23,C,326693.07
India,Mud Crab,36,B,404900.15
EU,Tiger Prawn,39,A,75396.08
China,Trout,17,C,38051.99
India,Banana Prawn,22,B,130526.21
USA,Snow Crab,30,A,137139.77
China,Mud Crab,40,C,414392.75
Japan,Tiger Prawn,12,B,450945.81
USA,Black Tiger Shrimp,5,A,49254.5
EU,Mud Crab,28,B,34392.47
India,Cod,32,A,427550.02
China,Tilapia,45,B,299534.86
USA,Carp,14,B,90497.89
Japan,Pangasius,32,A,448357.52
China,Catfish,4,B,48009.0
Japan,Mud Crab,43,C,245599.49
EU,Blue Swimmer Crab,50,A,354401.2
Japan,Blue Swimmer Crab,4,C,381898.91
India,Snow Crab,31,C,169569.79
EU,Pangasius,25,B,195533.95
China,Cod,16,C,439119.06
USA,Seabass,48,C,14718.1
USA,Salmon,12,B,304252.82
USA,Milkfish,3,B,440708.17
EU,King Prawn,16,C,271607.65
China,Vannamei,11,A,313462.67
Japan,Seabass,4,C,296143.92
India,Trout,31,C,483833.84
Japan,Milkfish,3,C,194494.24
EU,Vannamei,44,C,209382.94
India,Carp,44,A,431131.82
USA,Black Tiger Shrimp,8,C,387483.39
China,Black Tiger Shrimp,35,A,212596.82
USA,Rohu,21,C,66531.91
China,Dungeness Crab,40,A,109890.32
EU,Snow Crab,30,C,46105.02
Japan,Milkfish,7,B,326234.31
India,Tuna,47,C,154746.3
India,King Prawn,32,A,306320.35
EU,Freshwater Prawn,50,B,187382.53
India,Pangasius,48,C,470648.61
Japan,Milkfish,44,A,364499.65
China,Rohu,40,C,226035.02
India,Vannamei,25,C,321808.52
Japan,Cod,28,B,345738.32
EU,Banana Prawn,2,A,208269.56
USA,Snapper,36,C,478600.66
China,Snapper,37,B,258027.25
China,Freshwater Prawn,23,C,492249.83
USA,Milkfish,21,C,56715.2
India,Seabass,39,C,141452.81
USA,Freshwater Prawn,46,A,253234.99
Japan,Carp,24,B,269439.06
Japan,Salmon,36,C,410785.34
Japan,Blue Swimmer Crab,47,B,373136.91
India,Grouper,23,C,485054.82
China,Snow Crab,34,C,177345.64
China,Black Tiger Shrimp,26,C,249018.46
USA,Rohu,11,A,411398.03
China,Blue Swimmer Crab,6,A,151759.55
EU,Barramundi,26,B,330131.26
India,Pangasius,3,C,294266.14
USA,Barramundi,11,B,383440.66
USA,Snapper,9,C,180816.32
India,Salmon,48,A,310149.67
China,King Prawn,6,C,411809.87
Japan,Rohu,45,B,130540.55
USA,Cod,50,A,37551.3
India,Pangasius,16,B,287952.74
China,Snapper,26,B,298524.48
India,Rohu,4,B,146692.9
USA,Blue Swimmer Crab,4,B,335459.04
Japan,Tilapia,2,C,250304.01
USA,Carp,16,B,455152.22
USA,King Crab,21,A,27106.94
China,Soft Shell Crab,7,A,342027.11
USA,Seabass,46,A,301805.42
Japan,Carp,42,C,87519.99
China,Tilapia,15,B,202157.28
EU,Grouper,25,A,46127.24
USA,Tilapia,40,C,426830.3
India,Vannamei,8,B,414502.98
India,Trout,38,B,154752.16
EU,Soft Shell Crab,19,C,472700.07
EU,Blue Swimmer Crab,44,A,54313.98
India,Tuna,33,A,322201.85
Japan,Catfish,33,C,342763.82
EU,Tilapia,50,B,343167.65
EU,Barramundi,40,B,68756.4
USA,Dungeness Crab,49,C,377560.66
India,Snapper,1,B,332640.69
India,Salmon,30,C,324359.88
USA,Tiger Prawn,45,A,261396.49
Japan,Snapper,13,B,426658.16
India,Tuna,50,B,175826.36
India,Rohu,27,C,156830.78
China,Trout,33,C,408048.57
EU,Black Tiger Shrimp,47,C,68666.92
USA,Mud Crab,32,B,373254.96
China,Cod,8,B,410490.97
EU,Trout,5,A,394534.34
China,Salmon,26,B,107033.64
China,Blue Swimmer Crab,5,C,374994.45
India,Mud Crab,1,B,380616.66
Japan,Trout,25,B,131597.2
India,Snapper,27,B,190843.49
India,King Crab,35,C,371731.35
Japan,Vannamei,23,B,409699.01
Japan,Blue Swimmer Crab,47,A,327596.04
Japan,Freshwater Prawn,17,C,41338.55
EU,King Crab,32,A,359135.7
India,Banana Prawn,43,B,194816.71
USA,Snapper,29,C,459573.69
China,Pangasius,20,C,288067.17
Japan,Banana Prawn,32,B,423738.24
EU,Barramundi,9,C,123280.62
India,Black Tiger Shrimp,43,C,219601.84
EU,Milkfish,49,A,189198.33
India,Rohu,50,C,355038.15
China,Trout,9,B,78704.58
Japan,Black Tiger Shrimp,10,C,391975.43
Japan,Barramundi,40,A,365033.69
India,King Prawn,36,C,191126.87
USA,Grouper,50,B,448981.24
EU,Grouper,13,C,184285.6
India,King Prawn,41,A,391791.84
India,Vannamei,10,C,14873.99
Japan,Snapper,27,B,243539.06
China,King Prawn,45,A,236991.89
Japan,Black Tiger Shrimp,38,A,340782.73
Japan,Snow Crab,16,A,29703.58
EU,Tiger Prawn,30,C,26229.0
China,King Prawn,8,B,232115.51
Japan,Whiteleg Shrimp,26,B,320286.12
India,Dungeness Crab,35,C,495394.88
China,Rohu,16,B,173326.83
China,Freshwater Prawn,40,B,489223.04
China,Barramundi,17,A,144986.09
India,King Prawn,39,A,469879.57
USA,Whiteleg Shrimp,18,A,428650.48
Japan,Dungeness Crab,41,C,85579.42
USA,Tilapia,33,A,261513.95
EU,Pangasius,44,B,271783.15
Japan,Snow Crab,6,C,336496.54
China,Blue Swimmer Crab,11,B,76190.63
China,Tilapia,22,A,145326.38
Japan,Tiger Prawn,23,B,373929.3
EU,Carp,44,B,161148.19
Japan,Vannamei,10,B,299985.74
EU,Freshwater Prawn,44,C,342700.21
China,Banana Prawn,23,C,471482.45
India,Black Tiger Shrimp,4,A,434483.73
China,Grouper,25,B,187476.77
USA,Dungeness Crab,38,B,102278.8
India,Salmon,20,B,480615.27
USA,Seabass,24,A,479312.5
Japan,Rohu,28,B,27706.32
Japan,Freshwater Prawn,24,A,217674.65
India,Milkfish,19,C,377749.62
China,Salmon,16,C,391214.06
China,Cod,9,A,441214.44
India,Trout,3,C,318881.01
Japan,Snapper,7,B,371601.9
Japan,Black Tiger Shrimp,34,A,67711.09
USA,Cod,43,C,207975.76
China,Tilapia,17,C,391316.45
EU,Tiger Prawn,30,A,188596.24
India,Tilapia,9,A,267407.81
EU,Banana Prawn,46,C,47799.8
EU,Rohu,20,B,39632.01
EU,Carp,2,C,26668.4
Japan,Pangasius,35,A,143997.72
India,Whiteleg Shrimp,38,A,92288.09
China,Tiger Prawn,15,A,318272.48
India,Cod,13,B,230943.58
EU,Snapper,50,C,13475.95
Japan,Barramundi,26,B,498665.28
USA,Salmon,2,B,290500.61
EU,Snow Crab,44,B,11120.78
USA,Trout,38,A,265056.78
India,Rohu,27,B,144067.23
China,Catfish,39,C,189410.25
USA,Blue Swimmer Crab,17,C,492483.39
EU,Whiteleg Shrimp,8,B,46539.87
Japan,Whiteleg Shrimp,20,A,365074.54
Japan,Barramundi,7,C,374776.13
USA,Vannamei,4,B,169457.52
China,Trout,42,C,49176.67
EU,Snapper,45,A,308066.73
Japan,Salmon,7,A,333303.2
USA,Banana Prawn,32,C,318848.04
USA,Seabass,24,A,284942.39
China,Seabass,45,A,311400.65
Japan,Seabass,36,B,272744.77
China,Tiger Prawn,1,B,454414.36
China,Seabass,37,A,336662.99
India,Trout,46,B,95114.94
Japan,Dungeness Crab,23,C,471735.9
EU,Trout,37,A,348953.66
EU,Banana Prawn,1,C,423284.22
India,Grouper,42,B,123617.13
USA,Tuna,44,B,405673.93
China,Grouper,32,B,371712.64
India,Carp,8,B,157239.56
Japan,Blue Swimmer Crab,46,B,240703.64
China,Snapper,21,C,116508.54
EU,Milkfish,32,C,83635.99
China,Tilapia,10,C,182062.8
EU,Blue Swimmer Crab,12,C,320397.02
EU,King Prawn,41,A,56612.48
USA,Pangasius,20,A,249294.56
USA,Freshwater Prawn,17,C,286298.23
USA,Tuna,2,C,323068.56
Japan,Tilapia,17,C,296671.4
EU,Tiger Prawn,31,A,44907.82
USA,Barramundi,18,C,183745.94
USA,Milkfish,8,C,24193.27
Japan,Rohu,30,C,188077.81
India,Freshwater Prawn,2,C,459929.8
Japan,Dungeness Crab,19,B,361521.41
USA,Freshwater Prawn,6,B,278229.51
USA,Cod,35,A,274523.02
China,Snow Crab,13,B,228521.58
India,Snapper,36,C,369215.13
India,Trout,19,B,151299.78
India,Mud Crab,23,B,79090.42
Japan,King Crab,20,B,496854.56
China,Black Tiger Shrimp,13,C,288516.28
EU,Vannamei,2,B,252376.86
India,Carp,29,A,382247.33
USA,Vannamei,44,C,286093.08
USA,King Prawn,7,A,321189.01
China,Grouper,46,A,374294.95
Japan,Soft Shell Crab,12,A,178232.99
Japan,Freshwater Prawn,7,C,138197.63
China,Dungeness Crab,34,B,315643.72
India,Rohu,40,C,342784.18
EU,Trout,37,B,19140.74
EU,Carp,2,C,293085.68
Japan,King Prawn,3,C,419139.57
EU,Salmon,43,A,393874.47
China,Grouper,28,B,24189.87
India,Tiger Prawn,18,B,280403.4
EU,Blue Swimmer Crab,1,C,44171.41
China,Catfish,47,A,86366.37
EU,Rohu,39,B,169069.74
EU,Tiger Prawn,23,C,116251.57
USA,Seabass,6,B,138560.87
India,Catfish,36,C,271970.9
USA,Cod,38,C,91285.5
India,Salmon,24,A,485575.37
USA,Tilapia,25,B,81187.73
EU,Barramundi,33,B,16004.52
China,King Crab,31,C,107144.14
Japan,Banana Prawn,42,C,94954.76
EU,Tilapia,24,C,361964.33
EU,Snapper,20,B,22785.02
EU,Black Tiger Shrimp,49,B,468116.2
USA,Soft Shell Crab,9,B,350568.26
China,Banana Prawn,11,B,390485.19
India,Carp,7,A,116076.82
Japan,Snow Crab,13,B,431795.43
Japan,Freshwater Prawn,17,A,276274.32
India,Tuna,42,A,211868.31
India,Tilapia,40,A,107562.98
Japan,King Prawn,9,C,374620.41
India,Soft Shell Crab,5,C,73969.71
EU,Milkfish,8,C,390945.82
China,Soft Shell Crab,34,C,160223.77
EU,Grouper,18,C,309421.78
Japan,Soft Shell Crab,8,C,413577.57
China,Soft Shell Crab,19,C,259611.45
USA,Trout,21,C,307838.44
USA,Grouper,21,C,42076.57
China,Black Tiger Shrimp,11,C,288757.97
EU,Snapper,28,A,308448.04
Japan,Grouper,41,B,446555.02
China,King Prawn,1,B,166580.88
USA,Tilapia,46,C,93869.86
Japan,Milkfish,10,B,443407.03
Japan,Snapper,11,B,67634.83
Japan,Tilapia,14,A,220128.18
EU,Seabass,37,A,348466.98
Japan,Snow Crab,13,B,48714.38
USA,Vannamei,41,B,243486.34
China,Dungeness Crab,6,C,418342.61
Japan,Soft Shell Crab,8,B,118370.02
USA,Tilapia,27,A,338740.94
China,King Crab,25,B,425872.52
China,King Prawn,35,A,416084.2
China,Rohu,7,A,225953.83
China,Trout,38,C,426386.92
China,Tuna,28,C,177390.5
Japan,Seabass,33,B,94123.72
Japan,Seabass,35,B,194988.53
EU,Pangasius,2,A,494745.89
EU,Seabass,43,A,493146.86
China,Snapper,42,B,269510.43
Japan,Tuna,12,C,123421.74
EU,Tuna,45,C,484907.22
Japan,Whiteleg Shrimp,5,A,477821.34
USA,Pangasius,50,C,131622.19
India,Grouper,48,C,204817.87
USA,Trout,46,B,48894.71
Japan,Snow Crab,28,A,318345.24
India,Banana Prawn,36,C,418906.51
Japan,Freshwater Prawn,29,B,429597.86
USA,Black Tiger Shrimp,9,B,296555.21
EU,Seabass,13,A,123467.45
India,Snow Crab,32,B,154372.76
Japan,Freshwater Prawn,2,B,196873.23
Japan,Blue Swimmer Crab,46,A,61185.87
EU,Tiger Prawn,6,B,161799.75
Japan,Cod,27,B,499743.83
EU,Soft Shell Crab,45,B,18816.69
India,Barramundi,25,A,244987.12
EU,Grouper,21,C,469081.22
USA,Mud Crab,39,B,139634.99
India,Salmon,24,B,133975.45
China,Milkfish,38,B,449337.03
USA,Tiger Prawn,16,B,176129.66
India,Pangasius,22,A,352823.82
Japan,Dungeness Crab,35,A,111750.27
EU,King Crab,37,C,166693.46
USA,Seabass,17,B,305894.36
India,Barramundi,33,A,380921.92
India,Tilapia,34,A,143711.38
USA,Freshwater Prawn,28,A,494195.56
China,Mud Crab,13,C,352689.41
Japan,Barramundi,47,B,325978.09
EU,Black Tiger Shrimp,48,C,345932.16
Japan,Whiteleg Shrimp,31,C,491884.29
EU,Trout,10,B,58209.64
China,King Crab,3,B,113374.94
Japan,King Crab,7,C,110251.5
China,Tiger Prawn,34,B,264622.59
Japan,Trout,38,C,209645.94
USA,Tilapia,8,B,459002.6
India,Freshwater Prawn,23,C,140233.21
USA,King Crab,29,A,124426.13
USA,Grouper,42,B,371086.53
EU,Grouper,22,A,392878.75
India,Blue Swimmer Crab,42,B,426438.04
EU,Vannamei,20,C,25917.13
Japan,Whiteleg Shrimp,33,C,39971.5
Japan,King Prawn,12,B,97986.55
EU,Carp,14,B,398302.25
China,Mud Crab,6,A,143857.49
USA,Banana Prawn,39,C,243157.03
China,Tiger Prawn,48,B,467703.2
EU,Dungeness Crab,38,A,210933.95
USA,Seabass,45,A,297117.39
India,Tuna,4,A,13371.98
China,Milkfish,7,B,156243.07
China,Snapper,24,A,336904.2
Japan,King Prawn,3,B,123338.97
China,Mud Crab,14,C,250792.27
Japan,Grouper,7,C,348358.85
India,Barramundi,16,C,418874.4
EU,Pangasius,38,B,302394.52
China,Freshwater Prawn,48,C,378433.06
USA,Banana Prawn,10,A,470881.54
EU,Salmon,40,C,109631.98
USA,Barramundi,20,A,37870.16
India,Catfish,35,B,244876.58
Japan,Salmon,42,B,122935.99
India,Black Tiger Shrimp,23,B,23191.96
EU,Catfish,19,B,24010.38
USA,Freshwater Prawn,1,C,82308.52
USA,Rohu,50,A,281848.28
USA,King Prawn,30,A,293271.47
EU,Tuna,21,C,422098.62
Japan,Salmon,7,B,144383.0
USA,Dungeness Crab,4,A,267413.66
China,Tilapia,2,C,328735.81
EU,Catfish,6,A,440230.47
China,Seabass,26,B,124279.05
USA,Trout,9,A,415098.09
China,Seabass,48,C,296745.95
China,Rohu,41,A,205128.62
EU,Tuna,15,C,212558.18
USA,Pangasius,47,B,69120.86
USA,King Prawn,27,A,109070.74
Japan,Barramundi,9,A,20641.6
China,Tiger Prawn,50,A,57351.32
EU,Trout,21,B,110726.34
USA,Salmon,9,A,46150.98
USA,Black Tiger Shrimp,49,A,20904.85
EU,Milkfish,19,A,422893.56
China,Rohu,34,B,58113.98
USA,Snow Crab,31,C,29420.88
EU,Snapper,48,C,150934.64
China,Dungeness Crab,50,C,265171.09
India,Rohu,27,C,210861.5
Japan,Dungeness Crab,41,B,345941.6
China,Snapper,39,A,424996.0
China,Tuna,9,A,24205.31
USA,Banana Prawn,36,A,340365.12
EU,Milkfish,7,C,314880.76
China,Salmon,41,B,340183.78
Japan,Mud Crab,22,A,153936.42
India,Freshwater Prawn,43,B,246839.69
EU,Seabass,28,C,30472.49
EU,Blue Swimmer Crab,3,B,168575.14
EU,King Crab,7,A,227255.76
Japan,King Crab,32,A,336687.45
India,Snow Crab,37,A,313730.28
China,Snow Crab,36,C,459846.33
China,Tilapia,40,C,248744.94
USA,Catfish,48,C,146168.08
China,Freshwater Prawn,13,A,412863.34
China,Freshwater Prawn,44,B,319480.07
USA,Pangasius,13,B,212338.16
Japan,Tiger Prawn,33,A,84999.8
EU,Whiteleg Shrimp,42,B,169293.61
Japan,Freshwater Prawn,23,A,492279.67
Japan,Catfish,18,A,307337.45
China,Vannamei,19,C,36458.1
China,Tiger Prawn,12,B,437335.87
USA,Black Tiger Shrimp,11,A,56755.51
Japan,King Prawn,25,B,35110.98
India,Rohu,7,B,198197.56
Japan,Blue Swimmer Crab,13,C,202607.47
Japan,Barramundi,3,C,441934.23
China,Snow Crab,5,B,84236.11
Japan,Black Tiger Shrimp,24,B,182397.11
India,Salmon,39,A,310914.98
EU,Soft Shell Crab,10,B,290900.81
India,Catfish,40,A,255430.37
India,Banana Prawn,46,A,298903.49
India,Barramundi,9,B,18116.13
Japan,Mud Crab,34,A,404702.81
China,Soft Shell Crab,50,C,425430.73
Japan,Vannamei,24,A,59025.67
India,King Prawn,16,B,91607.75
China,Soft Shell Crab,32,A,89290.09
China,Freshwater Prawn,37,B,474231.98
EU,King Crab,9,B,284265.65
USA,Blue Swimmer Crab,44,A,206973.75
EU,Seabass,9,B,431622.72
India,Vannamei,19,A,212431.69
USA,Dungeness Crab,17,B,73394.03
USA,Vannamei,33,A,495996.53
China,Snow Crab,38,C,62654.61
India,Blue Swimmer Crab,27,C,218931.09
Japan,King Prawn,2,A,183952.67
Japan,Snapper,34,C,390192.04
China,Blue Swimmer Crab,38,C,289796.64
China,Dungeness Crab,50,B,39841.93
India,Carp,43,C,378648.71
China,Cod,1,A,337692.07
Japan,Banana Prawn,33,C,95993.19
India,Black Tiger Shrimp,40,C,385639.16
Japan,Vannamei,27,A,24315.51
EU,Banana Prawn,11,A,437571.68
Japan,Barramundi,25,B,341058.62
India,Grouper,28,A,215305.46
EU,Rohu,7,A,376013.03
Japan,Pangasius,9,C,59478.55
China,Black Tiger Shrimp,20,C,300849.8
China,Grouper,43,B,81633.69
EU,Dungeness Crab,40,C,434418.27
USA,Blue Swimmer Crab,47,B,317436.37
Japan,Cod,37,B,441778.44
Japan,Trout,40,B,49078.47
EU,Vannamei,2,A,11456.21
Japan,Pangasius,32,B,314142.65
Japan,Dungeness Crab,20,B,196335.56
India,Catfish,47,B,324215.49
USA,Vannamei,46,B,95701.69
Japan,Dungeness Crab,4,A,10399.3
China,Dungeness Crab,23,B,398325.55
USA,King Crab,21,C,143720.1
India,King Crab,33,C,298277.4
Japan,Catfish,34,C,366232.42
EU,Salmon,5,C,440895.75
Japan,Tuna,49,C,451732.44
India,Cod,34,A,390536.12
EU,Grouper,50,B,373901.71
India,Trout,46,C,323394.5
Japan,Seabass,29,C,102879.22
Japan,Banana Prawn,23,A,430233.59
USA,Rohu,17,C,301370.5
USA,Tiger Prawn,26,B,307471.49
India,Tilapia,23,B,476361.86
EU,Catfish,18,C,391484.83
USA,Grouper,4,A,470180.42
EU,Barramundi,4,B,103316.99
USA,Whiteleg Shrimp,14,B,229943.68
USA,King Prawn,45,A,387206.4
